,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Total Pop Census,Poverty Gap,Poverty Incidence,Poverty Severity,Adult illiteracy rate,Deprivation in economic provisioning,HPI,People not expected to survive age 40,Children <5 years malnourished,Without safe water,BCG3,DPT-HepB 1 3,DPT-HepB 2 3,DPT-HepB 3 3,Japenese Encephalitis 3,Measles 12-23 3,Measles 9-11 months 3,Polio13,Polio23,Polio33,TT 1 3,TT 2+ 3,TT23,Sanitation Coverage (%,Water Coverage Supply (%),HDI ,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Acute Flacid Paralysis,Chicken pox,Diptheria,Hepatatis-B,Measles,Mumps,Neonatal Tetanus,Rubella,Tetanus,Tuberculosis,Whooping cough,Alcoholism,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,Vacc_Access
Lalitpur,0.001501713,0.130433297,0.199131869,0.024975862,0.004374834,0.0019973,0.021013304,0.001048849,0.103231567,0.149964113,0.006562252,0.332393427,0.003249084,0.005496313,0.014626217,468132,0.015,0.076,0.005,20.32,23.34,19.18,0.0403,0.162,0.3048,0.021993797,0.016728188,0.015749831,0.017204549,0.004503003,0,0.015993352,0.016728188,0.015749831,0.017204549,0.001892629,0.00476575,0.001894765,83.69,89.33,0.601,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.783689857
Lamjung,7.15E-05,0.127507095,0.177434356,0.179485345,0.000256374,0.000101357,0.001639598,0.000172903,0.379349407,0.087035845,0.00561637,0.037102621,0,0.002772412,0.001454771,167724,0.039,0.168,0.013,36.38,21.94,26.98,0.057,0.322,0.1168,0.02180964,0.020843767,0.020259474,0.020301209,0,0.000166941,0.020998784,0.021654623,0.024206434,0.020867616,0.014660991,0.004525292,0.013736853,56.19,89.2,0.507,83,0,5.96E-06,1.19E-05,0.000488898,0,0.000882402,0,0,7.75E-05,0.00095991,0,4.77E-05,0,8.35E-05,1.19E-05,0.00128783,0.001848275,0.000101357,0.001884048,0.001305717,0,0.000351768,-0.266034423
Mahottari,2.07E-05,0.018343478,0.020727238,0.011004175,0.062736225,0.15453966,0.378216323,0.077182192,0.026728067,0.023369132,0.133606871,0.007023806,0.001416552,0.004665541,0.080420026,627580,0.035,0.162,0.011,62.96,26.59,44.75,0.0755,0.436,0.0958,0.024683706,0.022229835,0.021168616,0.021390102,0.013754422,0.000313904,0.022594729,0.022229835,0.021168616,0.021576532,0.022642532,0.003341407,0.024986456,17.11,77.69,0.388,98,1.75E-05,3.19E-06,0.000312311,0.001587049,4.78E-06,0.000455719,0,1.59E-06,9.56E-06,0.000556104,0,3.35E-05,0,0.000524236,3.19E-06,9.24E-05,0.000138628,3.19E-05,0.00011632,6.37E-06,1.27E-05,2.87E-05,0.810838706
Makwanpur,0.00020453,0.140918528,0.114867163,0.040817928,0.001724232,0.000692071,0.011967361,0.00066591,0.074063504,0.541178233,0.004278474,0.061989122,0.00119626,0.002378251,0.003058431,420477,0.073,0.279,0.027,38.21,23.32,28.44,0.0794,0.251,0.2155,0.02104039,0.020372101,0.019187732,0.018552739,0,0.00083001,0.019946394,0.020885804,0.019744243,0.019161571,0.010740183,0.004849255,0.009565327,48.05,72.12,0.497,97,2.62E-05,4.76E-06,6.90E-05,0.001586294,1.19E-05,0.000791958,0,9.51E-06,7.61E-05,0.00194541,1.90E-05,4.76E-06,1.43E-05,0.000711097,5.23E-05,8.09E-05,0.000494676,1.19E-05,0.000454246,0.001391277,0,0.000554133,-0.80818824
Manang,0,0.034567146,0.039920465,0.051391863,0,0,0,0,0.573722851,0.268736617,0,0.019424901,0,0.009788926,0.002447232,6538,0.099,0.369,0.038,29.18,28.56,25.52,0.1202,0.547,0.0242,0.013612726,0.01315387,0.010247782,0.009635974,0,0.000305904,0.010247782,0.013000918,0.011318446,0.00933007,0.007800551,0.00076476,0.007035791,45.59,96.08,0.568,127,0,0,0,0.002141328,0,0,0,0,0,0,0,0,0,0,0,0.000152952,0,0.000917712,0.000611808,0.000152952,0,0,-3.027681688
Morang,0.000272434,0.130721899,0.129211598,0.039133182,0.009381895,0.071743477,0.084206056,0.052200711,0.136201664,0.038266157,0.047391156,0.031745341,0.01396563,0.02745683,0.188101971,965370,0.033,0.165,0.01,35.09,17.29,25.32,0.07,0.315,0.0308,0.022910387,0.020506127,0.019558304,0.019669142,0.013495344,8.70E-05,0.020099029,0.020862467,0.019944684,0.020032734,0.005766701,0.013334784,0.007881952,46.49,85.76,0.513,94,9.63E-05,3.73E-05,0.000122233,0.002033417,2.49E-05,0.000696106,0,1.76E-05,3.83E-05,0.00103898,0,1.97E-05,5.18E-06,0.001087666,4.14E-06,0.000804873,0.001301056,0.000411241,0.001486477,0.000841128,0.000540725,0.00021339,-0.262721789
Mugu,0,0.052219368,0.654795066,0.136182759,0,0,0.002532287,0.00032558,0.001483196,0.08825019,0,0.002622725,0,0.060557827,0.001031002,55286,0.125,0.471,0.047,60.75,37.44,45.22,0.0941,0.502,0.2468,0.027945592,0.028542488,0.023821582,0.018268639,0,0.009206671,0.020819014,0.038906776,0.031490793,0.017671743,0.017309988,0.004413414,0.010545165,24.38,81.26,0.397,103,0,0,0,0.007506421,0,0,0,0,0,0.000235141,0,0,0,0,0,1.81E-05,0.000434106,3.62E-05,0.000560721,1.81E-05,5.43E-05,0,1.005025199
Mustang,0,0.036723164,0.081400535,0.130240856,0,0,0,0,0.510110021,0.214391912,0,0.009812667,0,0.012488849,0.004831995,13452,0.109,0.4,0.042,38.65,31.51,31.16,0.1202,0.547,0.0832,0.014272971,0.014570324,0.013306572,0.011968481,0,0.00044603,0.013975617,0.014570324,0.013306572,0.011968481,0.008400238,0.004385965,0.011150758,0,0,0.508,112,0,0,0,0.001932798,0.000148677,0.001263753,0,0,0.000148677,0.005872733,0,0.001189414,0,0,0,0.000297354,0.000892061,0.000520369,0.000743384,0.000297354,0,0.000371692,-2.295566677
Myagdi,0,0.080446318,0.194533663,0.245140398,0.000105596,0.000175993,0.002023917,0,0.449740851,0.002807085,0.001583935,0.013762638,0,0.002983078,0.006696527,113641,0.073,0.286,0.027,34.84,30.03,28.54,0.0727,0.475,0.1256,0.028009257,0.025070177,0.023979022,0.024128616,0,0.000633574,0.025017379,0.024067018,0.023380646,0.023600637,0.014616204,0.015856953,0.016252937,0,0,0.49,83,2.64E-05,8.80E-06,3.52E-05,0.000835966,8.80E-06,0.001601535,0,3.52E-05,3.52E-05,0.00319427,0,3.52E-05,8.80E-06,0.000290388,0.000510379,0.000105596,0.000651173,0.000140794,0.00049278,2.64E-05,2.64E-05,3.52E-05,0.882492257
Nawalparasi,0.000116549,0.174914686,0.081795409,0.067273445,0.003372141,0.062078482,0.102668498,0.039917142,0.207147386,0.03776643,0.037555089,0.019454304,0.000689968,0.013180877,0.152069594,643508,0.038,0.17,0.013,36.25,26.01,27.99,0.0809,0.389,0.1311,0.018981893,0.019179249,0.019173033,0.018638463,0.015337805,0.00016783,0.018834265,0.019185465,0.01904716,0.018640017,0.01069606,0.005698453,0.013300534,47.57,83.95,0.493,89,2.80E-05,4.66E-06,0.000153844,0.00013675,1.24E-05,0.000590513,0,4.66E-06,6.68E-05,0.000761451,0,9.32E-06,6.22E-06,0.00172492,3.57E-05,7.46E-05,0.000402481,0.000265731,0.000295257,7.46E-05,1.09E-05,1.55E-05,-0.468434875
Nuwakot,0,0.189439617,0.135347478,0.067217835,0.000115327,5.05E-05,0.002778669,0.000151367,0.076476461,0.446399804,0.001290225,0.074440212,6.49E-05,0.005643833,0.000583845,277471,0.042,0.203,0.013,49.41,24.71,35.66,0.0677,0.371,0.1232,0.020679639,0.020607559,0.019785851,0.019872347,0,0.00033517,0.020023714,0.021613069,0.02081659,0.020939125,0.009622627,0.00844773,0.00915411,31.15,77.92,0.466,92,2.52E-05,2.16E-05,1.44E-05,0.002176804,0,0.000605469,1.44E-05,0.000162179,0.000291922,0.001492048,0,0.000147763,3.60E-05,0.000504557,3.24E-05,0.000144159,0.000288318,6.49E-05,0.000172991,2.16E-05,1.44E-05,1.44E-05,-0.609456173
Okhaldhunga,0,0.106038491,0.235816034,0.103321981,0,0.000236512,0.007683263,0.003378744,0.335448427,0.134724024,0.000175695,0.065439507,0.00013515,0.002817872,0.004784301,147984,0.041,0.205,0.012,43.86,37,35.6,0.0717,0.567,0.1729,0.024502649,0.020691426,0.018502,0.018927722,0,0.000263542,0.022191588,0.023468753,0.021123905,0.02119148,0.00814953,0.006933182,0.016319332,52.2,82.4,0.468,87,6.76E-06,0,2.70E-05,0.000385177,0,0.002385393,0,6.08E-05,0.000513569,0.002277273,0,4.73E-05,0,0.001243378,2.03E-05,0.000500054,0.00422343,0.000175695,0.01196751,0.003730133,0.000121635,0.001770462,-0.316030683
Palpa,0.000191439,0.174622865,0.095095337,0.120173826,8.42E-05,0.000229727,0.001520025,4.59E-05,0.532781989,0.030289456,0.004709396,0.034577686,4.21E-05,0.003587564,0.002048396,261180,0.052,0.216,0.018,29.18,28.42,25.23,0.0725,0.359,0.2093,0.026077801,0.022494065,0.021682365,0.021559844,0,0.000168466,0.023309595,0.022494065,0.021682365,0.022325599,0.001600429,0.017298415,0.002419787,0,0,0.5,80,0.000704495,0.000352247,9.19E-05,0.000436481,3.83E-05,0.000823187,0,9.95E-05,0.000107206,0.001079715,3.83E-06,5.36E-05,0.000141665,0.004740026,7.66E-06,0.001711463,0.014346428,0.000168466,0.00497741,0.002251321,0.00015698,0.000417337,-0.292039285
Panchthar,0,0.107362747,0.103729075,0.060807958,0.000161612,0.000265878,0.001970628,0.000166826,0.620753114,0.084080139,0.000286732,0.014300088,0.000344078,0.004097656,0.00167347,191817,0.019,0.114,0.005,33.09,42.63,33.66,0.0916,0.569,0.2835,0.024398255,0.022724785,0.021431886,0.021108661,0,0.000323225,0.022662225,0.023751805,0.022698718,0.022234734,0.01400293,0.009853141,0.01174557,62.9,68.12,0.498,89,2.61E-05,0.000218959,0.000234599,0.001131287,0,0.000359718,0,1.04E-05,0.000370144,0.002476319,0,8.86E-05,0,9.38E-05,0.000208532,6.26E-05,0.000291945,4.69E-05,0.000427491,5.21E-06,3.65E-05,4.17E-05,0.099186224
Parbat,0,0.357254929,0.212258681,0.234490757,0,0.000109148,0.000948223,0,0.155085613,0.008677263,0.004236305,0.023828365,0,0.001548537,0.00156218,146590,0.025,0.127,0.008,32.43,21.84,24.62,0.0611,0.262,0.1747,0.021140596,0.020226482,0.019353298,0.019769425,0,0.000341087,0.020785865,0.020547104,0.019619346,0.0202947,0.003056143,0.01194488,0.008445324,75.35,88.03,0.51,80,8.19E-05,0.009946108,0.00276963,0.007913227,6.82E-06,0.003301726,0,0,5.46E-05,0.003206221,0,6.82E-06,0,0.0003138,4.78E-05,3.41E-05,0.001937376,8.87E-05,0.001002797,0.00011597,0.000184187,6.82E-05,-0.789834163
Parsa,0.000134772,0.026350336,0.038280115,0.005710321,0.026327042,0.120806899,0.380964266,0.076162571,0.015894725,0.025247206,0.145107376,0.016508684,0.011873208,0.012911448,0.09772103,601017,0.071,0.292,0.025,51.31,20.91,36.37,0.053,0.372,0.0462,0.022917821,0,0,0.019189141,0.009500563,0,0.020455328,0,0,0.020320557,0,0.010379074,0.024415283,25.49,80.17,0.464,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.441169272
Pyuthan,7.89E-05,0.098587474,0.294030741,0.215986708,0.000214816,0,0.00019728,0.000254272,0.347099105,0.017281742,0.002691778,0.016812654,7.89E-05,0.001012705,0.005672901,228102,0.079,0.322,0.028,41.99,34.64,33.93,0.1161,0.484,0.2087,0.032130363,0.029758617,0.028333816,0.028167223,0,0.000170976,0.031056282,0.031420154,0.03073625,0.030319769,0.010635593,0.018991504,0.013485195,21.03,88.77,0.413,78,0,0,4.38E-06,0.001030241,2.19E-05,0.000622529,0,4.38E-06,8.33E-05,0.001288897,0,1.32E-05,0,0.000955713,1.32E-05,0.000192896,0.001012705,5.26E-05,0.000135904,0.000464704,0,0,2.031373424
Ramechhap,0,0.048458889,0.277029894,0.087008873,0.000281279,0.000207258,0.001993624,8.39E-05,0.149625455,0.286233136,0.000162846,0.144967085,5.92E-05,0.003158217,0.000730338,202646,0.056,0.256,0.018,47.9,32.4,36.35,0.0592,0.444,0.2039,0.019738855,0.019003583,0.018524915,0.018460764,0,0.000414516,0.01981781,0.019521728,0.019102277,0.01896904,0.0090552,0.00586244,0.010506006,31.27,79.05,0.468,85,1.48E-05,0,1.48E-05,0.00060697,4.93E-06,0.001085637,1.97E-05,3.45E-05,8.88E-05,0.004470851,0,9.38E-05,1.48E-05,0.000148041,4.93E-05,0.000143107,0.000759946,5.43E-05,0.003089131,0.00016778,4.93E-05,9.87E-05,-0.975132167
Rasuwa,0,0.150692841,0.02630485,0.030669746,0.000692841,0,0.001639723,0,0.04743649,0.713441109,0,0.023371824,0,0.0047806,0.000969977,43300,0.072,0.316,0.024,58.68,28.57,42.24,0.087,0.45,0.1213,0.023741339,0.022378753,0.021709007,0.021224018,0,0.000300231,0.02334873,0.023140878,0.0226097,0.022424942,0.002494226,0.010046189,0.016836028,41.89,89.44,0.461,98,0,0,0,0.002170901,0,0.002055427,2.31E-05,0,0.000300231,0.002678984,0,2.31E-05,0,0.000277136,0.000115473,0.000415704,0.00034642,2.31E-05,0.000138568,4.62E-05,2.31E-05,4.62E-05,-0.089926167
Rautahat,0.000643637,0.026295939,0.019183891,0.005380634,0.02360635,0.124191449,0.415593209,0.086851739,0.013366399,0.029056882,0.197341865,0.003727855,0.002079444,0.004600115,0.048080592,686722,0.083,0.334,0.029,66.11,22.29,46.43,0.0727,0.397,0.0487,0.02497954,0.025666864,0.024287849,0.02374032,0.001153305,0.001297468,0.02068377,0.025837238,0.024513559,0.021950658,0.026673093,0.001533372,0.022521486,17.58,73.8,0.386,105,0.000149988,3.35E-05,0.000117952,0.001425613,8.74E-06,0.000109215,0,1.75E-05,2.18E-05,0.000586846,0,0,5.82E-06,0.000339293,5.24E-05,4.37E-05,5.82E-05,1.60E-05,0.000161637,4.95E-05,2.33E-05,2.77E-05,0.888891472
Rolpa,0,0.01173688,0.37031527,0.16664588,6.68E-05,0.000111356,0.000293979,0,0.438705424,0.000935387,0.000962112,0.002476549,0,0.006213642,0.001536707,224506,0.056,0.26,0.018,49.26,37.16,38.57,0.108,0.513,0.2303,0.028689656,0.026832245,0.024083989,0.024382422,0,0.000699313,0.027348935,0.035121556,0.025803319,0.026097298,0.004276055,0.015496245,0.008930719,20.41,76.2,0.395,85,0,0,1.78E-05,0.001362993,0,0.001371901,0,6.68E-05,0.000138081,0.002053397,0,0.000124718,3.12E-05,0.000565686,1.78E-05,0.000178169,0.000556778,2.67E-05,0.000267253,4.01E-05,3.12E-05,4.90E-05,0.971625367
Rukum,0,0.03313084,0.503560007,0.211922308,9.59E-05,0.000139044,0.000805497,0,0.24363394,0.000781523,0.000604122,0.002824033,0,0.001980179,0.000522614,208567,0.058,0.263,0.019,49.19,38.85,39.02,0.0814,0.513,0.2641,0.029328705,0.024812171,0.021556622,0.021192231,0,0.002181553,0.024351887,0.026749198,0.023532007,0.023383373,0.017020909,0.006587811,0.014148931,20.32,79.05,0.431,91,0.001006871,4.79E-05,0.000139044,0.003509664,4.79E-06,0.00101646,0,6.23E-05,3.84E-05,0.000513025,0,0,1.44E-05,0.001500717,5.75E-05,0.000786318,0.002435668,0.000254115,0.000680836,0.000604122,7.67E-05,0.000230142,0.606063828
Rupandehi,0.000653264,0.159338375,0.082774746,0.048173361,0.00881849,0.073141664,0.170424542,0.101337657,0.131747929,0.00860831,0.082331662,0.021356607,0.004435376,0.009753509,0.097104509,880196,0.041,0.173,0.014,35.61,20.1,26.15,0.073,0.377,0.025,0.023669728,0.020543152,0.01962063,0.019921699,0.015618112,0,0.020948743,0.020543152,0.01962063,0.019921699,0.015052329,0.013467455,0.01475694,48.74,91.81,0.498,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290179139
Salyan,0,0.026076125,0.640519048,0.169800036,4.54E-05,0,0.000379469,0,0.152340334,0.001497253,0.00110541,0.005733283,0,0.001814852,0.000688819,242444,0.063,0.288,0.021,44.5,48.14,40.57,0.0823,0.541,0.4219,0.024933593,0.022731022,0.019295177,0.018977578,0,9.49E-05,0.024710861,0.025094455,0.023015624,0.022438171,0.008641171,0.011916154,0.011986273,16.37,57.34,0.441,92,8.25E-06,0,1.24E-05,0.003031628,4.12E-06,0.000688819,0,0,1.24E-05,0.00061045,0,0,0,0.000193859,0,9.49E-05,0.001546749,4.54E-05,0.000284602,4.54E-05,1.65E-05,1.24E-05,0.011421424
Sankhuwasabha,0,0.053413715,0.190768669,0.082410452,0.001442592,0.000163788,0.001329201,0.000258281,0.476912222,0.141040178,0.000258281,0.047479558,0.000522861,0.002941881,0.001058321,158742,0.041,0.21,0.012,36.84,39.91,33.64,0.0843,0.474,0.3241,0.02292399,0.021090827,0.020404178,0.019597838,0,0.000516561,0.020259289,0.022023157,0.021878268,0.021601089,0.001820564,0.018167845,0.002715097,53.39,80.27,0.488,90,1.26E-05,6.30E-06,1.26E-05,0.000648852,0,0.002778093,0,0,0.000144889,0.00120951,0,0.000201585,0,0.001115017,3.15E-05,0.000251981,0.001127616,0.000220484,0.000774842,0.000346474,0.000144889,8.82E-05,-0.578290597
Saptari,0.000259666,0.013048974,0.015606522,0.010217681,0.022752016,0.22983056,0.347784396,0.037410603,0.011639584,0.009776563,0.089389067,0.004195319,0.004519118,0.021957377,0.181612554,639284,0.1,0.395,0.036,54.56,18.69,38.34,0.0539,0.334,0.0397,0.024195819,0.022706653,0.02154598,0.021416147,0.010810532,0.000611622,0.021400504,0.022520507,0.022257713,0.021696148,0.014736799,0.015066856,0.011824166,19.01,72.31,0.437,96,2.50E-05,0,5.94E-05,0.001349948,1.56E-06,4.69E-05,3.13E-06,7.82E-06,3.75E-05,0.001079333,0,0,1.56E-06,0.000179889,3.13E-06,1.72E-05,0.000137654,9.39E-06,0.00039732,1.25E-05,2.66E-05,6.26E-06,0.491271385
Sarlahi,3.38E-05,0.035774929,0.04252016,0.0140504,0.030556209,0.126584811,0.435826115,0.076148878,0.025349181,0.072073418,0.078929078,0.009551414,0.003955938,0.003614259,0.045031433,769729,0.036,0.177,0.011,62,24.36,43.86,0.0704,0.377,0.1101,0.024012347,0.021729726,0.019856339,0.019276914,0,0.000523561,0.020091487,0.022193525,0.020298053,0.019532849,0.017925789,0.012147132,0.016587656,17.47,81.25,0.402,103,7.79E-06,6.24E-05,0.000193575,0.002528163,1.30E-06,0.000393645,0,0,2.21E-05,0.000391047,2.34E-05,1.43E-05,1.30E-05,0.000471595,0.000235148,3.77E-05,3.25E-05,6.50E-06,6.50E-05,6.89E-05,2.60E-05,5.20E-06,0.021056382
Sindhuli,0,0.0779123,0.147944576,0.112497974,0.002123623,0.00684691,0.008717318,0.000229581,0.176797483,0.400966265,0.000604338,0.062803857,0,0.001242437,0.001313337,296192,0.099,0.383,0.036,48.92,35.91,37.95,0.0856,0.363,0.3552,0.022995219,0.020868221,0.019156493,0.019288164,1.01E-05,0.001131023,0.020672402,0.022394258,0.02063864,0.020942497,0.01310974,0.006495787,0.011090779,21.01,61.77,0.44,92,4.73E-05,2.70E-05,0.000243086,0.001131023,2.36E-05,0.000503052,0,3.38E-06,0.000189067,0.001397742,0,7.43E-05,2.03E-05,0.001711728,0.000317362,0.000175562,0.000276847,4.39E-05,0.000270095,5.74E-05,2.36E-05,4.05E-05,-0.414289188
Sindhupalchok,0.000799172,0.103284248,0.220717309,0.07338133,0.00014941,6.25E-05,0.001761652,0.000145936,0.064378488,0.421656857,0.000132037,0.111109181,0,0.001587919,0.000833918,287798,0.054,0.254,0.017,50.49,32.93,38.03,0.0841,0.466,0.1926,0.01927741,0.020358029,0.019736065,0.019972342,0,0.000479503,0.020444895,0.020430997,0.019864627,0.020066158,0.005073003,0.007689421,0.00703966,33.85,80.93,0.455,93,3.47E-06,3.47E-06,1.39E-05,0.00188674,3.47E-06,0.001563597,0,1.04E-05,0.000361365,0.00301253,0,2.78E-05,0,0.000413484,4.86E-05,0.000225853,0.000569844,7.64E-05,0.000211954,0.00014941,3.13E-05,5.56E-05,-0.933953112
Siraha,3.14E-05,0.009420581,0.013266324,0.009630834,0.011204592,0.210340672,0.464627319,0.054874413,0.015696784,0.033497665,0.074867258,0.005341049,0.004125035,0.012193094,0.080882999,637328,0.08,0.346,0.027,60.04,24.99,42.62,0.0637,0.397,0.1027,0.024641943,0.023460447,0.022542553,0.022164411,0.008811789,0.000241634,0.023167035,0.023460447,0.022542553,0.022172257,0.018467728,0.024354806,0.017636131,18.47,72.03,0.408,95,3.92E-05,0,0.000106695,0.000541323,4.71E-06,6.28E-05,0,3.14E-06,1.26E-05,0.000861409,6.28E-06,0,3.14E-06,0.000924171,2.67E-05,0.00021496,0.0001977,8.94E-05,0.000359313,0.0001318,9.89E-05,0.0001318,1.138664543
Solukhumbu,0,0.046200631,0.158028446,0.077319003,0.000368321,0.000226659,0.006185898,0,0.54342406,0.138837996,0.000122774,0.024488601,0.000151106,0.002984342,0.001662165,105886,0.057,0.257,0.019,42.49,29.39,32.48,0.0874,0.476,0.1118,0.020899836,0.017660503,0.016546097,0.015771679,0,0.000226659,0.019435997,0.017669947,0.016546097,0.015771679,0.014005629,0.006894207,0.012683452,39.64,77,0.502,94,1.89E-05,2.83E-05,0,0.004193189,0,0.000538315,0,0.000339988,9.44E-06,0.000849971,0,1.89E-05,1.89E-05,0.000339988,1.89E-05,0.000292768,0.000273879,8.50E-05,0.000651644,0.002124927,9.44E-06,0.000132218,-1.112832434
Sunsari,0.000141456,0.079912297,0.099948002,0.036060863,0.008461179,0.078015736,0.14639411,0.016701005,0.147538858,0.036211488,0.115487232,0.038036011,0.009921583,0.011438309,0.175731872,763487,0.022,0.12,0.006,37.12,16.49,26.52,0.071,0.294,0.0358,0.022490232,0.020526872,0.019860194,0.019537988,0.010750674,0.000349711,0.019953188,0.020526872,0.019860194,0.019537988,0.008288288,0.01524191,0.007886185,51.33,77.51,0.496,95,2.62E-06,0,6.68E-05,0.000373287,1.31E-06,0.00041389,0.000108712,0,3.27E-05,0.000984955,0,7.86E-06,0,0.00041389,2.62E-05,6.16E-05,5.24E-05,3.93E-06,0.000280293,1.05E-05,3.93E-06,3.93E-06,-0.243996201
Surkhet,3.99E-05,0.115278047,0.380622798,0.258041527,0.000242301,0.000139679,0.001718909,3.14E-05,0.203629377,0.007460006,0.005202335,0.005436084,0.000136829,0.002317533,0.01970331,350804,0.075,0.305,0.026,33,47.58,36.36,0.0839,0.579,0.3726,0.025683858,0.023993455,0.022667929,0.022040798,0,0.000344922,0.023845224,0.02440109,0.023218093,0.022610917,0.008129896,0.013369289,0.013882396,36.53,77.48,0.476,93,2.28E-05,1.14E-05,2.57E-05,0.00690414,0,0.001687552,0,0,5.70E-06,0.002856296,0,0.000139679,0,0.000772511,2.85E-06,9.41E-05,0.000564418,7.70E-05,0.000444693,0.000313565,2.57E-05,0.000111173,0.304432004
Syangja,4.50E-05,0.308807254,0.145541384,0.158669609,0.000491098,8.30E-05,0.001407584,0,0.330014387,0.010600108,0.006868455,0.033322036,4.84E-05,0.002856669,0.001245037,289148,0.024,0.118,0.007,29.63,28.15,25.31,0.0685,0.391,0.172,0.021739732,0.021131047,0.019965554,0.020259521,0,0.000657103,0.021798525,0.021200216,0.020069307,0.020428984,0.004302295,0.014694897,0.013512111,68.4,78.51,0.527,77,6.92E-06,0.0002663,3.46E-05,0.003330474,1.73E-05,0.002196107,0,0.000148713,8.65E-05,0.001898682,6.92E-06,8.30E-05,2.42E-05,0.000871526,2.42E-05,0.000304342,0.001905599,0.000383886,0.001352249,0.000200589,4.50E-05,0.000152171,-0.386950868
Tanahu,3.71E-05,0.118723862,0.1462968,0.161465937,0.000238178,0.000300042,0.003455124,0.00035572,0.42843842,0.046039445,0.012901809,0.076786024,0.000241271,0.003229319,0.001490931,323288,0.033,0.148,0.011,31.68,36.03,29.75,0.0727,0.473,0.2476,0.020727648,0.020053327,0.018723244,0.018636634,0,0.000142288,0.019675955,0.020622479,0.019638836,0.019329514,0.011899607,0.0019611,0.011958378,56.63,82.44,0.506,80,3.09E-05,1.86E-05,3.09E-05,0.000612457,9.28E-06,0.00079805,0,3.09E-06,0.000160847,0.001314617,3.71E-05,4.02E-05,6.50E-05,0.001224914,3.09E-06,0.000188686,0.000411398,7.42E-05,0.000417584,0.000126822,6.19E-05,0.000136102,-0.850832324
Taplejung,0,0.077796346,0.127693961,0.071166867,0,0.000156911,0.001357278,0.000125529,0.621327308,0.078769192,0,0.015918595,0,0.004244436,0.001443579,127461,0.055,0.27,0.017,34.28,23.98,26.42,0.1078,0.385,0.0946,0.025592142,0.024580068,0.023795514,0.023144334,0,0.00080809,0.024768361,0.025019418,0.024211327,0.023505229,0.019370631,0.005899844,0.017479857,53.82,71.31,0.494,90,0,0,0,0.000604106,0,0.002761629,4.71E-05,7.85E-06,0.00109053,0.006072446,2.35E-05,9.41E-05,8.63E-05,0.000156911,5.49E-05,0.001474961,0.002165368,0.001145448,0.000360895,0.00058057,0.000196138,9.41E-05,0.70029372
Terhathum,0,0.133219134,0.206572354,0.092944269,0.000354411,0,0.001073078,0.000226429,0.463018203,0.0698288,0.000305187,0.028923871,0,0.0025301,0.001004164,101577,0.025,0.146,0.007,30.64,42.85,33.01,0.0799,0.634,0.2229,0.022012857,0.021943944,0.02092009,0.020290026,0,0.000196895,0.022524784,0.023145003,0.022209752,0.021628912,0.007166977,0.017188931,0.008683068,58.13,90.79,0.527,87,9.84E-06,1.97E-05,3.94E-05,0.000531616,0,0.002953424,0,9.84E-06,0.000324877,0.003672091,0,0.000502082,0,6.89E-05,3.94E-05,7.88E-05,0.001506246,2.95E-05,0.000443014,0.000108292,9.84E-05,2.95E-05,-0.156232662
