,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Total Pop Census,Poverty Gap,Poverty Incidence,Poverty Severity,Adult illiteracy rate,Deprivation in economic provisioning,HPI,People not expected to survive age 40,Children <5 years malnourished,Without safe water,BCG3,DPT-HepB 1 3,DPT-HepB 2 3,DPT-HepB 3 3,Japenese Encephalitis 3,Measles 12-23 3,Measles 9-11 months 3,Polio13,Polio23,Polio33,TT 1 3,TT 2+ 3,TT23,Sanitation Coverage (%,Water Coverage Supply (%),HDI ,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Acute Flacid Paralysis,Chicken pox,Diptheria,Hepatatis-B,Measles,Mumps,Neonatal Tetanus,Rubella,Tetanus,Tuberculosis,Whooping cough,Alcoholism,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,Vacc_Access
Udayapur,0,0.059902624,0.228153383,0.106584533,0.001209327,0.013315193,0.020473527,0.000784173,0.328370054,0.11873449,0.006824509,0.034443773,0.000462945,0.002012396,0.078729073,317532,0.058,0.259,0.019,39.3,26.03,29.74,0.0815,0.3,0.2207,0.023745638,0.021840318,0.020133404,0.019916103,0.01390411,0.001058161,0.021808826,0.023351977,0.021626167,0.021862363,0.011787788,0.011198871,0.012109016,25.7,64.18,0.475,89,1.89E-05,0,3.78E-05,0.001451822,1.89E-05,0.000494438,0,7.56E-05,3.15E-05,0.001499062,3.46E-05,3.15E-05,0,0.000724336,0.000229898,0.000198405,0.0004409,0.000125972,0.000289735,0.000163763,2.52E-05,3.46E-05,0.30881539
Achham,0,0.102036298,0.581749049,0.135157703,0.00010098,0,0.004920828,0,0.006921007,0.002637129,0.000998147,0.000493248,0.001743845,0.162239734,0.001002031,257477,0.127,0.472,0.047,54.92,51.76,46.68,0.095,0.592,0.4431,0.029812372,0.029668669,0.029579341,0.029443407,0,0.000477713,0.029443407,0.029668669,0.029579341,0.029443407,0.006621951,0.016987925,0.007410371,19.08,88.01,0.378,87,1.55E-05,0.003359523,5.44E-05,0.00274976,2.33E-05,0.001219526,0,3.11E-05,4.27E-05,0.000726278,3.88E-06,0,0,0.000240798,6.21E-05,3.50E-05,0.001207875,0.00015147,0.001479744,0.000419455,1.94E-05,0.000139818,1.548278002
Arghakhanchi,0,0.327664548,0.193248057,0.209019794,0.001603991,6.58E-05,0.001057521,0,0.193349255,0.034726158,0.008971219,0.027971179,0,0.00113848,0.001184019,197632,0.069,0.288,0.024,34.43,27.24,27.37,0.0771,0.31,0.2348,0.023523518,0.024742957,0.023280643,0.023776514,0,9.11E-05,0.023356541,0.024874514,0.023376781,0.023796754,0.006097191,0.01116216,0.011480934,46.2,82.97,0.482,77,5.06E-06,0,2.02E-05,0.00333448,0,0.000612249,0,1.52E-05,2.02E-05,0.002626093,0,1.52E-05,0,0.000237816,0,0.000283355,0.001932885,0.000161917,0.001350996,0.000101198,3.54E-05,0.000333954,0.173441397
Baglung,4.47E-05,0.195385182,0.205600622,0.26323,0.001165245,0,0.000926984,0,0.308175703,0.009563945,0.002762338,0.010721745,0,0.001786957,0.000636604,268613,0.053,0.229,0.018,34.46,27.01,27.33,0.0852,0.429,0.1112,0.024615339,0.02460417,0.023718137,0.024362186,0,0,0.023610175,0.02460417,0.023718137,0.024362186,0.013748404,0.003845681,0.014727508,59.32,90.87,0.478,78,3.72E-06,2.61E-05,1.12E-05,0.001708778,0,0.000323886,0,1.86E-05,3.72E-06,0.001809294,1.12E-05,0.000163804,1.49E-05,0.000148913,0,0.000379728,0.00221136,0.000167527,0.001124294,0.000320163,0.000376006,0.000483968,0.353344733
Baitadi,5.18E-05,0.185497692,0.603898796,0.083153313,0.001610216,0.000127542,0.052499422,0,0.003870099,0.000617781,8.37E-05,0.000482268,0.000135513,0.066975424,0.000996421,250898,0.123,0.457,0.046,45.15,45.38,39.58,0.0814,0.592,0.3157,0.025715629,0.02563193,0.025560188,0.025576131,0,0.001578331,0.024045628,0.024448182,0.025277204,0.025576131,0.007421343,0.0129455,0.006982917,25.59,89.66,0.416,88,2.39E-05,0,3.19E-05,0.002064584,7.97E-06,0.000538067,3.99E-06,3.99E-06,0.000589881,0.00072938,0,0.000131528,2.39E-05,0.000561981,3.99E-06,0.00020327,0.00052611,5.98E-05,0.000514153,1.99E-05,0.00017537,0.000103628,0.49041291
Bajhang,7.69E-05,0.101952767,0.726489683,0.11310265,0.000497031,0.000102481,0.000276697,0,0.002054735,0.001393735,0,0.000912077,0.000261325,0.052198464,0.000681496,195159,0.162,0.568,0.063,54.97,48.05,45.32,0.1281,0.632,0.3291,0.027270072,0.02691139,0.026716677,0.026552708,0,0.000440666,0.026035182,0.026619321,0.026224771,0.026260639,0.019286838,0.006266685,0.015018523,14.03,58.23,0.365,91,6.66E-05,1.54E-05,2.56E-05,0.000988937,0,0.00068662,0,0.000251077,1.02E-05,0.000707116,0,5.12E-06,5.12E-06,0.000461162,2.05E-05,0.000102481,0.001260511,0.000174217,0.000855713,0.000133225,3.59E-05,0.000230581,1.136959007
Bajura,0,0.07001601,0.653892908,0.203199122,0.000103771,0.000111184,0.040522711,0.000689338,0.003142789,0.014520576,0.000741224,0.000452147,0.000318726,0.010436433,0.00185306,134912,0.199,0.641,0.082,55.48,41.17,43.28,0.1379,0.508,0.3153,0.027025024,0.025512927,0.025349858,0.025097842,0,0.001074775,0.023963769,0.025446217,0.025438805,0.024675344,0.008116402,0.00916894,0.008294296,10.57,86.82,0.364,95,0,2.22E-05,7.41E-06,0.002134725,0,0.00029649,0,7.41E-06,0,0.001082187,0,0,0,0.000318726,0.000170481,7.41E-06,0.000148245,0,0.000259428,7.41E-06,0,0,0.445273206
Banke,0.000578043,0.066468829,0.194220385,0.067950573,0.01539141,0.043589321,0.125246024,0.022515179,0.06686776,0.006443957,0.18989524,0.012912339,0.005084335,0.024819209,0.158017394,491313,0.066,0.264,0.024,43.69,24.83,32.1,0.0784,0.448,0.0487,0.027666681,0.024033559,0.023164459,0.022545709,0.016799881,0.000614679,0.020713883,0.024033559,0.023164459,0.022545709,0.012193856,0.01168298,0.009808411,35.97,90.56,0.475,99,2.85E-05,1.83E-05,0.000107874,0.002564557,6.11E-06,0.000309375,1.63E-05,3.87E-05,1.63E-05,0.000722554,0,2.44E-05,8.14E-06,0.000455921,8.14E-06,6.11E-05,0.0001669,1.83E-05,0.000134334,2.04E-05,1.63E-05,2.04E-05,0.722737743
Bara,7.27E-05,0.043175301,0.035685204,0.005963287,0.010929057,0.111857067,0.362694632,0.078235239,0.015726151,0.053627412,0.130628115,0.008416363,0.001423569,0.006693248,0.134872649,687708,0.072,0.299,0.025,56.75,21.78,40.09,0.0624,0.396,0.0396,0.02507605,0.024588924,0.02394621,0.023204616,0.013353051,0.000444956,0.022000617,0.024618006,0.023776079,0.023121732,0.011230057,0.012765592,0.010220908,19.06,88.58,0.457,104,2.91E-06,1.45E-06,6.25E-05,0.001529719,1.31E-05,0.000205029,0,3.20E-05,9.89E-05,0.001689671,0,1.60E-05,1.02E-05,0.000894275,0.000321357,0.000338807,0.000238473,3.64E-05,0.000250106,0.000199212,4.94E-05,2.62E-05,0.705161252
Bardiya,6.80E-05,0.087159146,0.145176944,0.08406005,0.003185833,0.013683376,0.032378755,0.020528581,0.038023705,0.005994243,0.025955516,0.005623851,0.000743127,0.005973144,0.531445745,426576,0.071,0.287,0.025,43.46,26.37,32.3,0.0884,0.506,0.0214,0.018144481,0.019262687,0.018953246,0.019063426,0.016998143,9.14E-05,0.018067121,0.019262687,0.018953246,0.019063426,0.010532707,0.008127508,0.00821659,39.16,82.18,0.466,93,1.41E-05,7.03E-06,0.000192228,0.004334515,1.41E-05,0.000541521,0,0,2.81E-05,0.003120194,0,2.34E-05,4.69E-06,0.001216665,4.69E-06,6.10E-05,0.00045244,0.000107835,0.000363358,0.000363358,6.33E-05,0.000103147,-0.52910157
Bhaktapur,0.000131298,0.142303816,0.214602939,0.017259093,0.001834886,0.00041687,0.007917256,0.000331527,0.047585598,0.093717073,0.004943361,0.455842915,0.000679466,0.00604298,0.006390919,304651,0.029,0.125,0.01,21.87,22.58,19.43,0.0331,0.269,0.1825,0.010720464,0.015824665,0.016477871,0.017229551,0.013888023,0.00032168,0.017968101,0.015873902,0.016477871,0.017268941,0.009817792,0.001667482,0.008691913,87.1,91.66,0.573,103,9.85E-06,3.28E-05,6.56E-06,0.000525191,3.28E-06,0.000643359,3.28E-06,1.64E-05,0.000492367,0.000561298,0,1.31E-05,0,0.000643359,0.000288855,0.000262596,0.000210076,0.000354504,0.000344657,4.60E-05,3.61E-05,4.60E-05,-1.449162616
Bhojpur,7.67E-05,0.061865953,0.208024817,0.098175481,0.000263073,0.000115094,0.001627763,0.000279515,0.435906149,0.109745203,0.000104133,0.08036326,0,0.002526595,0.000926235,182459,0.048,0.244,0.014,36.91,38.46,33.03,0.0965,0.455,0.3143,0.021078708,0.021297935,0.02149524,0.021226687,0,0.000295957,0.019927765,0.021297935,0.021440433,0.021281493,0.003151393,0.012819318,0.004510602,36.8,67,0.479,89,1.64E-05,0,1.10E-05,0.000728931,0,0.000789218,3.29E-05,0,0.001298922,0.005952022,0,1.64E-05,1.64E-05,0.000175382,0,0.000115094,0.000345283,1.64E-05,0.000202785,0.000460377,0,3.84E-05,-0.668156804
Chitawan,0.000215523,0.285614776,0.126034511,0.084391983,0.001234517,0.002317305,0.016619424,0.001760393,0.146547146,0.158440578,0.011689978,0.052166956,0.001239689,0.002082816,0.109644404,579984,0.017,0.089,0.005,27.77,28.88,24.8,0.0645,0.42,0.1577,0.02320064,0.019603989,0.01905225,0.019233289,0.014726268,9.83E-05,0.018455682,0.019603989,0.019014318,0.019233289,0.011096858,0.005015656,0.009412329,83.08,85.05,0.551,93,3.10E-05,4.83E-05,8.62E-05,0.001798325,1.21E-05,0.000808643,0,5.17E-05,4.83E-05,0.000837954,0,5.17E-06,1.21E-05,0.001363831,0.000248283,0.001046581,0.002989738,0.000832782,0.005105313,0.000427598,0.000956923,0.001210378,-0.443907912
Dadeldhura,0,0.158184019,0.578968852,0.188586429,0.00020409,0.000161865,0.01837516,0,0.039143102,0.002871339,0.000260391,0.008818106,0,0.003251369,0.001175278,142094,0.118,0.433,0.045,42.74,38.91,35.8,0.0889,0.486,0.2922,0.026588033,0.024033386,0.024026349,0.024448604,0,0.000647459,0.0222951,0.024033386,0.024026349,0.024448604,0.010401565,0.011583881,0.007586527,43.08,77.51,0.442,88,0.000365955,8.45E-05,0.000154827,0.008557715,0,0.000936,0,7.04E-06,6.33E-05,0.001365293,0,2.11E-05,0,0.001351218,0.000302617,0.000443368,0.005482286,0.000612271,0.002716512,0.001090827,0.000168902,0.000394105,0.302489889
Dailekh,0,0.108824541,0.504759904,0.269117928,0,0,0.000546281,0,0.105623257,0.003006456,0.001753448,0.00311724,4.20E-05,0.002681744,0.00052718,261770,0.088,0.358,0.031,47.7,46.86,41.35,0.0863,0.456,0.4812,0.027027543,0.026867097,0.026485082,0.026538564,0,0.000148986,0.025736333,0.026867097,0.026485082,0.026538564,0.009985865,0.013786912,0.009237117,19.86,55.73,0.422,94,1.15E-05,4.58E-05,1.53E-05,0.002750506,7.64E-06,0.000603583,0,0,0,0.004129579,0,5.35E-05,1.15E-05,0.000187187,0,0.000126065,0.000733468,0.000118425,0.00025213,0.000133705,3.82E-06,7.26E-05,0.913393312
Dang,7.60E-05,0.102455197,0.284663118,0.114116793,0.000378224,0.001847686,0.020136342,0.000689489,0.141021349,0.018022632,0.008644855,0.008319112,0.000164681,0.004216561,0.295247954,552583,0.059,0.251,0.02,37.59,42.01,34.92,0.0798,0.393,0.4472,0.024001824,0.02385343,0.023757517,0.023679701,0.01877365,2.53E-05,0.023554832,0.02385343,0.023757517,0.023679701,0.004082645,0.011205556,0.013359079,44.11,69.25,0.485,90,0,0,2.35E-05,0.002533556,3.62E-06,0.000548334,0,0,4.71E-05,0.002075706,0,0,0,0.001854925,0,0.000439753,0.000899412,6.15E-05,0.000624341,0.000195446,2.53E-05,4.52E-05,0.683578538
Dhading,0,0.149809413,0.166701878,0.116179214,0.000238048,0.00022317,0.003174962,0.000160682,0.160569172,0.30354959,0.003076767,0.093990186,0,0.001362823,0.000964093,336067,0.038,0.188,0.012,46.74,20.85,33.38,0.0768,0.263,0.1539,0.023325706,0.023548876,0.023185853,0.023355462,0.002300137,5.65E-05,0.024123166,0.023548876,0.023185853,0.023355462,0.004868077,0.012045217,0.010852003,51.43,69.25,0.461,89,3.87E-05,8.93E-06,4.46E-05,0.003064865,8.93E-06,0.000755802,2.98E-06,5.06E-05,0.000172585,0.003645106,0,0.000208292,5.95E-06,0.000693314,0.000145804,0.000181511,0.000996825,0.000312438,0.000779606,0.000437413,9.82E-05,9.52E-05,0.122260699
Dhankuta,7.34E-05,0.05414535,0.213754192,0.073293271,0.000501799,0.000483441,0.003127065,0.000336573,0.529000318,0.071126967,0.00098524,0.046710156,0.000556875,0.003273933,0.002631386,163412,0.029,0.159,0.008,31.41,31.59,27.57,0.0711,0.449,0.1827,0.02320515,0.023407094,0.023241867,0.023303062,0,0.000232541,0.022813502,0.023284704,0.023125597,0.023303062,0.007526987,0.01547622,0.008175654,48.64,76.42,0.517,88,6.12E-06,0,0,0.001009718,0,0.001009718,0,0,0.00012239,0.002123467,0,2.45E-05,6.12E-06,0.000318214,0,0.000575233,0.000348812,6.73E-05,0.000354931,4.90E-05,3.06E-05,6.12E-06,0.103700598
Dhanusa,3.31E-05,0.013621242,0.015706626,0.009863841,0.042258839,0.158142074,0.428089356,0.124253919,0.015383352,0.027510112,0.084391814,0.006058743,0.003675258,0.013944516,0.057067187,754777,0.046,0.231,0.014,58.11,27.74,41.72,0.0731,0.436,0.1188,0.026483319,0.026267361,0.025773175,0.024926568,0.012626246,0.000703519,0.023481108,0.025952036,0.025708256,0.024649665,0.01364774,0.01389152,0.014030634,23.87,75,0.431,101,2.65E-06,1.32E-06,0.000400118,0.000744591,3.97E-05,6.09E-05,1.32E-06,0,2.91E-05,0.00018681,1.32E-06,0,0,0.000416017,1.32E-06,6.23E-05,5.83E-05,1.32E-06,0.000102017,2.65E-06,1.99E-05,5.96E-05,1.265385269
Dolakha,0,0.091977251,0.343042609,0.087244113,0.000305537,0.000310897,0.001559845,0.000112566,0.109644773,0.269681652,0.000246573,0.09379439,0,0.001624168,0.000455625,186557,0.057,0.26,0.018,46.4,33.07,35.7,0.0761,0.44,0.2215,0.02110883,0.021189234,0.021055227,0.021350043,0,0.000326978,0.020803293,0.021242837,0.020631764,0.021350043,0.011047562,0.006271542,0.012516282,48.13,81.43,0.459,87,0,1.07E-05,1.61E-05,0.00293208,2.14E-05,0.000450265,0,4.82E-05,0.000214412,0.00239069,0,0,5.36E-06,0.000755801,0.000117926,0.000653956,0.000434184,0.000423463,0.000343059,0.000423463,0.000209051,0.000343059,-0.411450887
Dolpa,0,0.017166213,0.515504087,0.134114441,0,0,0.000381471,0,0.197029973,0.129482289,0.000381471,0.002370572,0,0.001716621,0.001852861,36700,0.11,0.428,0.04,55.78,44.63,44.56,0.1448,0.541,0.3516,0.023814714,0.024523161,0.022370572,0.020626703,0,0.000653951,0.020871935,0.02359673,0.022425068,0.020626703,0.01986376,0.003950954,0.01346049,17.64,69.69,0.401,99,0,0,0,0.002043597,0,0,0,0,0,0,0,0,0,0,0,0.002643052,0.000517711,0.000735695,0.000490463,0,0,0,0.094907138
Doti,5.19E-05,0.080417104,0.617848743,0.203635488,0.000420315,0.000255023,0.012141906,0,0.036184863,0.004278711,0.000547826,0.005393254,0.000406147,0.036600455,0.001818216,211746,0.135,0.489,0.052,52.32,47.02,43.57,0.094,0.576,0.3645,0.029053678,0.029001728,0.028633363,0.027754952,0,0.0010012,0.025790334,0.028836436,0.028425566,0.027617995,0.011339057,0.011627138,0.009190256,23.31,79.96,0.407,85,9.45E-06,4.72E-05,9.45E-06,0.001567916,0,0.000401424,4.72E-06,0,2.36E-05,0.000240855,0,0.000127511,9.45E-06,0.000321139,8.97E-05,0.000273913,0.000604498,7.08E-05,0.000420315,8.97E-05,3.31E-05,0.000103898,1.26908031
Gorkha,6.64E-05,0.152102294,0.1291997,0.162634979,7.38E-05,0.000206596,0.001313358,0.000431637,0.324974821,0.13738605,0.011274215,0.077672553,0.000129122,0.001663832,0.000870653,271061,0.049,0.204,0.018,41.83,34.23,33.58,0.0657,0.313,0.3716,0.019464253,0.020571015,0.020242676,0.020762854,0,0.000195528,0.019372023,0.020571015,0.020242676,0.020762854,0.00953291,0.005482161,0.011178296,44.15,70.11,0.481,81,1.11E-05,6.27E-05,4.43E-05,0.000793179,0,0.0016749,0,0,0.000136501,0.002910784,0,0,0,0.001331804,0,0.000121744,0.002006928,0.000166014,0.010488414,0.001324425,2.21E-05,0.000110676,-0.709059329
Gulmi,0.000217733,0.253130354,0.255821673,0.206871074,0,0.000124929,0.000831668,0.000328384,0.226456311,0.034908624,0.001538407,0.01769703,0,0.001424186,0.000649629,280160,0.059,0.256,0.02,34.42,27.36,27.42,0.0826,0.433,0.1142,0.023661479,0.023736436,0.023732867,0.023904198,0,0.000146345,0.023561536,0.023740006,0.023736436,0.023864934,0.002719874,0.016872501,0.011643347,67.03,77.85,0.464,76,1.43E-05,3.57E-06,7.14E-06,0.002387921,3.57E-06,0.000567533,0,1.78E-05,2.86E-05,0.001541976,0,5.71E-05,0,0.000182039,3.57E-06,0.000214163,0.003080383,0.000289121,0.002623501,0.000303398,0.000189178,0.000392633,0.223263906
Humla,0,0.064316332,0.584018247,0.156946793,0,0,0.002752763,0,0.004876322,0.183157025,0.000216288,0.000511227,0,0.001926934,0.001278068,50858,0.166,0.56,0.067,62.78,47.88,49.26,0.116,0.657,0.3005,0.028904007,0.028510755,0.02786189,0.027684927,0,0.003696567,0.024794526,0.028510755,0.02786189,0.027684927,0.019977191,0.003303315,0.013999764,25.83,48.4,0.376,103,0.000334264,0.004699359,0.001926934,0.008081324,0,0.000255614,0,3.93E-05,0,0.004640371,0,0,0,0,0.000216288,0.000373589,0.000216288,5.90E-05,0.000904479,0.000314601,0,5.90E-05,1.396972723
Ilam,9.99E-05,0.138981719,0.144631943,0.054149125,0.000275621,0.000306628,0.002776878,0.000423767,0.516964452,0.094789391,0.000778628,0.036633431,0.001257519,0.005109318,0.002821667,290254,0.012,0.073,0.003,26.54,34.05,26.96,0.0842,0.461,0.22,0.023720603,0.022700807,0.022249478,0.022352836,0,0.000223942,0.021743025,0.022700807,0.022242588,0.022352836,0.003820791,0.016647488,0.0073384,67.97,68.23,0.526,95,0.000124029,0,1.03E-05,0.000365197,0,0.000558132,0,6.89E-06,0.000141256,0.00233244,0,5.86E-05,6.89E-06,0.000175708,0,0.000358307,0.001016351,0.000103358,0.000654599,0.000158482,8.96E-05,0.00026184,-0.15107144
Jajarkot,0,0.046181058,0.566886938,0.288247793,6.42E-05,0.001004063,0.001138327,0,0.091375566,0.000863961,0,0.001838836,0,0.001611171,0.000788073,171304,0.09,0.377,0.031,53.08,47.6,44.2,0.115,0.513,0.4391,0.029053612,0.029672395,0.029257927,0.028323915,0,0.000898987,0.028388129,0.029672395,0.029257927,0.028323915,0.018470088,0.00565661,0.017325924,25.25,77.05,0.393,100,8.17E-05,7.59E-05,4.67E-05,0.001220053,1.75E-05,0.000665484,0.000221828,4.67E-05,0.000344417,0.001004063,6.42E-05,0,5.84E-06,8.76E-05,0.000286041,0.000239341,0.000869799,0.00016929,0.000274366,5.25E-05,5.25E-05,7.01E-05,1.722768401
Jhapa,0.000110749,0.237847782,0.171364056,0.055203347,0.006093644,0.008067434,0.03207654,0.006142866,0.157701347,0.047166677,0.031990402,0.032769335,0.011058881,0.010512521,0.191894419,812650,0.019,0.106,0.005,30.08,14.84,21.82,0.0876,0.242,0.0549,0.024173999,0.027101458,0.02619824,0.02642466,0.017641051,0.000267028,0.026807359,0.027112533,0.026211776,0.026428352,0.015069218,0.007476774,0.016917492,57.14,81.25,0.518,90,8.61E-06,5.05E-05,0.000216575,0.003562419,0.000169815,0.000770319,0,2.21E-05,3.94E-05,0.001902418,0,2.46E-05,0,0.001485264,3.69E-06,0.000370393,0.000878607,5.91E-05,0.000855227,2.83E-05,1.85E-05,7.75E-05,1.539599625
Jumla,0,0.109473839,0.687626812,0.169636709,0,0,0.0098879,0,0.005912542,0.011825084,0.001019087,0.001854555,0,0.001661755,0.001101716,108921,0.131,0.49,0.049,55.57,37.03,42.09,0.1103,0.541,0.1996,0.029149567,0.029112843,0.028213109,0.028947586,0,0.001230249,0.025394552,0.028846595,0.028167204,0.028828233,0.015543375,0.015497471,0.012614647,37.21,87.95,0.409,102,0,0,0,0.001496497,0,0.000413143,0,0,9.18E-06,0.000183619,0,0,0,9.18E-06,9.18E-06,0.000100991,0.000174438,0,2.75E-05,0,1.84E-05,0,1.644756328
Kailali,0.000109577,0.124091637,0.256349997,0.119112966,0.00168491,0.000840521,0.009213507,0.000648439,0.040573205,0.006628774,0.006352898,0.003944778,0.000876617,0.013713906,0.415858266,775709,0.084,0.336,0.03,41.14,18.75,29.49,0.09,0.314,0.061,0.020744893,0.020091297,0.019909528,0.019641386,0.014963085,0.000197239,0.01936422,0.020095165,0.019909528,0.019641386,0.008815161,0.008017182,0.00755309,39.2,88.63,0.46,95,0.000132782,3.74E-05,0.000149541,0.001840897,1.55E-05,0.000564645,3.87E-06,7.73E-06,8.90E-05,0.001024869,0,3.09E-05,7.73E-06,0.000657463,5.54E-05,0.00036096,0.000488585,0.000269431,0.001156361,0.000505344,0.000183058,0.000193371,-0.410049229
Kalikot,0,0.171086836,0.548945585,0.260529544,0,0,0.005994976,0,0.00414756,0.006089903,0.000197155,0.00028478,0,0.001942343,0.000781318,136948,0.168,0.579,0.066,54.7,48.04,45.2,0.1338,0.541,0.4199,0.030135526,0.029836142,0.027557905,0.026864211,0,0.002533808,0.025308876,0.029412624,0.027419166,0.02636037,0.021453398,0.00139469,0.014290096,21.86,79.08,0.374,101,0,3.65E-05,8.76E-05,0.002168706,7.30E-06,0.000576861,0,1.46E-05,0.000649882,0.000847037,0,2.19E-05,0,2.19E-05,2.92E-05,5.11E-05,0.000401612,0.000153343,0.000189853,5.84E-05,0,1.46E-05,1.390641486
Kanchanpur,0.000352356,0.159635057,0.360154505,0.119049835,0.000742386,0.000374517,0.008868737,0.000104156,0.033668847,0.016764617,0.001021611,0.002555136,0.000485321,0.03850211,0.25772081,451248,0.08,0.314,0.029,36.96,17.51,26.6,0.0852,0.317,0.0332,0.022018934,0.02172198,0.021602312,0.021141368,0.01665603,0.000483105,0.020135269,0.021717548,0.021615608,0.021161313,0.00947151,0.008744637,0.007306404,33.85,82.17,0.475,92,0,6.65E-06,5.76E-05,0.001267596,6.65E-06,0.001387264,2.22E-06,1.55E-05,2.66E-05,0.001241003,0,0,6.65E-06,0.00180167,4.43E-06,5.54E-05,0.000128532,8.86E-05,0.000137397,3.10E-05,1.55E-05,2.88E-05,0.009753554
Kapilbastu,0.000480823,0.085383679,0.053140561,0.026641093,0.01561888,0.096412885,0.262856334,0.081051027,0.039546383,0.003624531,0.181586751,0.003493398,0.005588038,0.020208555,0.124367062,571936,0.089,0.355,0.032,52.9,26.76,38.26,0.0924,0.487,0.0482,0.027412158,0.025008043,0.024126825,0.023908269,0.01826603,0.000466835,0.020694623,0.025100711,0.024168788,0.023911766,0.006710541,0.025604263,0.012823113,21.78,81.01,0.432,100,0,0,8.04E-05,0.002050929,0.000110152,0.000347941,0,0,8.74E-05,0.001704736,0,0,0,0.000744839,0.000192329,8.92E-05,0.00038291,5.07E-05,0.000545516,2.62E-05,2.45E-05,2.62E-05,1.267106619
Kaski,0.000967287,0.2780625,0.168513182,0.150346069,0.000780332,0.000857553,0.010926685,0.000790493,0.282819682,0.035712399,0.008994143,0.04857569,0.001052636,0.005399331,0.006202017,492098,0.008,0.04,0.003,21.43,15.22,16.5,0.0459,0.229,0.0755,0.026340282,0.018583697,0.018858032,0.019693232,0.007230267,0.000294657,0.019467667,0.018583697,0.018858032,0.019693232,0.005726502,0.011150218,0.010164642,87.47,92.23,0.576,92,0.000483644,0.00014428,4.06E-05,0.002019923,1.42E-05,0.000607603,0,0.000130055,7.72E-05,0.000658405,0,2.84E-05,4.06E-06,0.000514125,0.000160537,0.002137786,0.009085589,0.001156274,0.005210344,0.003413954,0.000613699,0.005547675,-0.531720595
Kathmandu,0.000972343,0.235131633,0.21724304,0.02242352,0.003302871,0.001493487,0.019957116,0.001019928,0.115240449,0.120857795,0.012501147,0.219657845,0.009486653,0.007793079,0.012919094,1744240,0.015,0.076,0.005,15.96,31,22.45,0.0439,0.32,0.3,0.023586204,0.016529835,0.016611246,0.017077352,0.006097211,0.000403041,0.01680044,0.016557928,0.01660666,0.017099711,0.013342201,0.001688988,0.01002729,93.77,93.2,0.632,110,5.27E-05,0.000139316,8.03E-06,0.001457942,2.47E-05,0.000290098,2.64E-05,0.00052573,0.000151355,0.000244806,1.15E-06,2.47E-05,5.16E-05,0.001489474,9.29E-05,0.002332248,0.003066092,0.000448333,0.001809957,0.000940811,4.99E-05,0.00054981,-1.160484159
Khotang,0,0.072060762,0.232148397,0.107429524,0,0.000189034,0.003005157,0,0.464757261,0.062487882,0.000208422,0.054117065,0,0.002316879,0.001279615,206312,0.05,0.25,0.015,38.02,27.71,29.47,0.0815,0.336,0.2183,0.022480515,0.022892512,0.02196673,0.021695296,0,0.000213269,0.02098763,0.02281496,0.021394781,0.021666214,0.009640738,0.010968824,0.010004265,18.14,75.97,0.494,89,3.88E-05,4.85E-06,0,0.000882159,0,0.001546202,0,1.45E-05,0.000252045,0.00380007,0,0.000145411,0,8.24E-05,5.82E-05,7.27E-05,0.000591337,0.00022781,0.000775524,7.27E-05,1.94E-05,7.76E-05,-0.189785058
Lalitpur,0.001501713,0.130433297,0.199131869,0.024975862,0.004374834,0.0019973,0.021013304,0.001048849,0.103231567,0.149964113,0.006562252,0.332393427,0.003249084,0.005496313,0.014626217,468132,0.015,0.076,0.005,20.32,23.34,19.18,0.0403,0.162,0.3048,0.024973725,0.014124221,0.015369597,0.017480112,0.010450044,0,0.016431263,0.014124221,0.015369597,0.017480112,0.002465117,0.009990772,0.021038938,83.69,89.33,0.601,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.966058845
