,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Poverty Severity,Adult illiteracy rate,Children <5 years malnourished,Sanitation Coverage (%,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,caste_diversity,Vacc_Access
Achham,0,0.102036298,0.581749049,0.135157703,0.00010098,0,0.004920828,0,0.006921007,0.002637129,0.000998147,0.000493248,0.001743845,0.162239734,0.001002031,0.047,54.92,0.592,19.08,87,1.94E-05,0.001238946,0.000147586,0.005177161,0.000866097,0.000135934,0.001052521,0.000260217,5.83E-05,0.000182541,0.393517063,-0.103672667
Arghakhanchi,0,0.327664548,0.193248057,0.209019794,0.001603991,6.58E-05,0.001057521,0,0.193349255,0.034726158,0.008971219,0.027971179,0,0.00113848,0.001184019,0.024,34.43,0.31,46.2,77,5.06E-05,0,6.07E-05,0.001052461,0.001786148,0.000106258,0.002337678,8.10E-05,0.000126498,0.000111318,0.227857246,-0.141603354
Baglung,4.47E-05,0.195385182,0.205600622,0.26323,0.001165245,0,0.000926984,0,0.308175703,0.009563945,0.002762338,0.010721745,0,0.001786957,0.000636604,0.018,34.46,0.429,59.32,78,0,0.000215924,1.49E-05,0.001913534,0.003190464,0.000134022,0.000658941,0.000234538,0.00022337,0.000398343,0.244929155,-0.146424887
Baitadi,5.18E-05,0.185497692,0.603898796,0.083153313,0.001610216,0.000127542,0.052499422,0,0.003870099,0.000617781,8.37E-05,0.000482268,0.000135513,0.066975424,0.000996421,0.046,45.15,0.592,25.59,88,0.000282984,0,3.19E-05,0.002279811,0.000282984,6.38E-05,0.000653652,2.39E-05,1.59E-05,3.99E-06,0.413278741,-0.140837049
Bajhang,7.69E-05,0.101952767,0.726489683,0.11310265,0.000497031,0.000102481,0.000276697,0,0.002054735,0.001393735,0,0.000912077,0.000261325,0.052198464,0.000681496,0.063,54.97,0.632,14.03,91,5.12E-06,5.12E-06,2.56E-05,0.001655061,0.000312566,5.12E-05,0.000389426,8.20E-05,3.07E-05,4.61E-05,0.553706384,-0.131665061
Bajura,0,0.07001601,0.653892908,0.203199122,0.000103771,0.000111184,0.040522711,0.000689338,0.003142789,0.014520576,0.000741224,0.000452147,0.000318726,0.010436433,0.00185306,0.082,55.48,0.508,10.57,95,0,5.19E-05,6.67E-05,0.000978416,0.000163069,0,9.64E-05,1.48E-05,0,0,0.475744581,-0.09203489
Banke,0.000578043,0.066468829,0.194220385,0.067950573,0.01539141,0.043589321,0.125246024,0.022515179,0.06686776,0.006443957,0.18989524,0.012912339,0.005084335,0.024819209,0.158017394,0.024,43.69,0.448,35.97,99,2.04E-06,2.44E-05,2.24E-05,0.002141201,0.000111945,4.07E-06,0.000199466,2.04E-06,2.04E-06,1.42E-05,0.131438795,-0.149505621
Bara,7.27E-05,0.043175301,0.035685204,0.005963287,0.010929057,0.111857067,0.362694632,0.078235239,0.015726151,0.053627412,0.130628115,0.008416363,0.001423569,0.006693248,0.134872649,0.025,56.75,0.396,19.06,104,8.72E-06,0,9.60E-05,0.001670767,0.000216662,2.33E-05,6.98E-05,3.34E-05,1.16E-05,1.74E-05,0.191967912,-0.146183199
Bardiya,6.80E-05,0.087159146,0.145176944,0.08406005,0.003185833,0.013683376,0.032378755,0.020528581,0.038023705,0.005994243,0.025955516,0.005623851,0.000743127,0.005973144,0.531445745,0.025,43.46,0.506,39.16,93,0,0.000616537,7.03E-05,0.011854863,0.000192228,7.03E-06,0.00018754,0.00034226,9.38E-06,7.03E-06,0.322064209,-0.150841473
Bhaktapur,0.000131298,0.142303816,0.214602939,0.017259093,0.001834886,0.00041687,0.007917256,0.000331527,0.047585598,0.093717073,0.004943361,0.455842915,0.000679466,0.00604298,0.006390919,0.01,21.87,0.269,87.1,103,6.56E-06,0,4.92E-05,0.000781222,0.00029542,8.53E-05,0.000361069,0.000361069,1.31E-05,5.58E-05,0.285611327,-0.205541275
Bhojpur,7.67E-05,0.061865953,0.208024817,0.098175481,0.000263073,0.000115094,0.001627763,0.000279515,0.435906149,0.109745203,0.000104133,0.08036326,0,0.002526595,0.000926235,0.014,36.91,0.455,36.8,89,0,5.48E-06,3.84E-05,0.000652201,0.000169901,5.48E-05,0.000175382,0.000411051,2.19E-05,3.29E-05,0.265266648,-0.165732417
Chitawan,0.000215523,0.285614776,0.126034511,0.084391983,0.001234517,0.002317305,0.016619424,0.001760393,0.146547146,0.158440578,0.011689978,0.052166956,0.001239689,0.002082816,0.109644404,0.005,27.77,0.42,83.08,93,0.000206902,0.000155177,0.00016897,0.001675908,0.00078278,0.000677605,0.001432798,0.000177591,0.000212075,0.000324147,0.166334049,-0.175953225
Dadeldhura,0,0.158184019,0.578968852,0.188586429,0.00020409,0.000161865,0.01837516,0,0.039143102,0.002871339,0.000260391,0.008818106,0,0.003251369,0.001175278,0.045,42.74,0.486,43.08,88,0.000781173,6.33E-05,0.000126677,0.007670978,0.003624361,0.00055597,0.000865624,7.74E-05,0.000218165,0.000844511,0.397759877,-0.152380375
Dailekh,0,0.108824541,0.504759904,0.269117928,0,0,0.000546281,0,0.105623257,0.003006456,0.001753448,0.00311724,4.20E-05,0.002681744,0.00052718,0.031,47.7,0.456,19.86,94,0,1.15E-05,3.44E-05,0.002483096,0.000744929,0,0.000225389,9.17E-05,0,7.64E-06,0.350235673,-0.124396667
Dang,7.60E-05,0.102455197,0.284663118,0.114116793,0.000378224,0.001847686,0.020136342,0.000689489,0.141021349,0.018022632,0.008644855,0.008319112,0.000164681,0.004216561,0.295247954,0.02,37.59,0.393,44.11,90,1.45E-05,1.99E-05,4.52E-05,0.002187907,0.001011613,0.000215352,0.000908461,0.000255165,7.24E-06,4.71E-05,0.212507249,-0.131400618
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,0.059,41.8,0.478,16.43,91,0,0,0,0,0,0,0,0,0,0,0,-0.313640253
Dhading,0,0.149809413,0.166701878,0.116179214,0.000238048,0.00022317,0.003174962,0.000160682,0.160569172,0.30354959,0.003076767,0.093990186,0,0.001362823,0.000964093,0.012,46.74,0.263,51.43,89,1.79E-05,1.49E-05,1.19E-05,0.002800037,0.000595119,0.000246975,0.000853996,0.000639753,3.87E-05,6.55E-05,0.19051142,-0.134119652
Dhankuta,7.34E-05,0.05414535,0.213754192,0.073293271,0.000501799,0.000483441,0.003127065,0.000336573,0.529000318,0.071126967,0.00098524,0.046710156,0.000556875,0.003273933,0.002631386,0.008,31.41,0.449,48.64,88,0,0,0,0.000930164,0.000116271,3.06E-05,0.000165227,3.67E-05,6.12E-06,0,0.341106004,-0.158844496
Dhanusa,3.31E-05,0.013621242,0.015706626,0.009863841,0.042258839,0.158142074,0.428089356,0.124253919,0.015383352,0.027510112,0.084391814,0.006058743,0.003675258,0.013944516,0.057067187,0.014,58.11,0.436,23.87,101,8.61E-05,0,0.000133814,0.000907553,0.000177536,1.19E-05,0.000278228,9.27E-06,1.32E-05,4.37E-05,0.237640552,-0.153565606
Dolakha,0,0.091977251,0.343042609,0.087244113,0.000305537,0.000310897,0.001559845,0.000112566,0.109644773,0.269681652,0.000246573,0.09379439,0,0.001624168,0.000455625,0.018,46.4,0.44,48.13,87,6.97E-05,5.36E-06,0,0.00073436,0.000879088,0.00055211,0.000954132,0.001323992,0.000112566,0.000230493,0.227302681,-0.162856687
Dolpa,0,0.017166213,0.515504087,0.134114441,0,0,0.000381471,0,0.197029973,0.129482289,0.000381471,0.002370572,0,0.001716621,0.001852861,0.04,55.78,0.541,17.64,99,5.45E-05,2.72E-05,0.000163488,0.00599455,0.00027248,0.000299728,0.001307902,0.000190736,2.72E-05,2.72E-05,0.33962459,-0.178130039
Doti,5.19E-05,0.080417104,0.617848743,0.203635488,0.000420315,0.000255023,0.012141906,0,0.036184863,0.004278711,0.000547826,0.005393254,0.000406147,0.036600455,0.001818216,0.052,52.32,0.576,23.31,85,8.03E-05,0.000420315,0.000118066,0.002488831,0.000136957,6.14E-05,0.000132234,0.001251499,1.89E-05,2.36E-05,0.432519165,-0.118780397
Gorkha,6.64E-05,0.152102294,0.1291997,0.162634979,7.38E-05,0.000206596,0.001313358,0.000431637,0.324974821,0.13738605,0.011274215,0.077672553,0.000129122,0.001663832,0.000870653,0.018,41.83,0.313,44.15,81,0.000121744,1.84E-05,2.95E-05,0.000730463,0.001597426,0.00032465,0.009473882,0.001368696,0.000114365,2.95E-05,0.196927008,-0.168850158
Gulmi,0.000217733,0.253130354,0.255821673,0.206871074,0,0.000124929,0.000831668,0.000328384,0.226456311,0.034908624,0.001538407,0.01769703,0,0.001424186,0.000649629,0.02,34.42,0.433,67.03,76,9.99E-05,8.21E-05,1.43E-05,0.007702741,0.003933467,0.000221302,0.002248715,0.000339092,0.000139206,0.000478298,0.225135283,-0.132542185
Humla,0,0.064316332,0.584018247,0.156946793,0,0,0.002752763,0,0.004876322,0.183157025,0.000216288,0.000511227,0,0.001926934,0.001278068,0.067,62.78,0.657,25.83,103,1.97E-05,0,0.000196626,0.009772307,0.000865154,0.000373589,0.000511227,0.000845491,1.97E-05,0.001238743,0.403429706,-0.12684793
Ilam,9.99E-05,0.138981719,0.144631943,0.054149125,0.000275621,0.000306628,0.002776878,0.000423767,0.516964452,0.094789391,0.000778628,0.036633431,0.001257519,0.005109318,0.002821667,0.003,26.54,0.461,67.97,95,0,3.45E-06,2.07E-05,0.000599475,0.000933665,0.000354862,0.000737285,0.000175708,1.38E-05,0.000175708,0.320790052,-0.151964824
Jajarkot,0,0.046181058,0.566886938,0.288247793,6.42E-05,0.001004063,0.001138327,0,0.091375566,0.000863961,0,0.001838836,0,0.001611171,0.000788073,0.031,53.08,0.513,25.25,100,0,0,2.34E-05,0.000980713,0.001412693,7.59E-05,0.000233503,5.84E-06,1.17E-05,0.000110914,0.414939428,-0.106506657
Jhapa,0.000110749,0.237847782,0.171364056,0.055203347,0.006093644,0.008067434,0.03207654,0.006142866,0.157701347,0.047166677,0.031990402,0.032769335,0.011058881,0.010512521,0.191894419,0.005,30.08,0.242,57.14,90,2.46E-06,4.92E-06,0.000183351,0.002479542,0.001284686,0.000163662,0.000791239,7.01E-05,3.94E-05,0.000167354,0.15640139,-0.112117317
Jumla,0,0.109473839,0.687626812,0.169636709,0,0,0.0098879,0,0.005912542,0.011825084,0.001019087,0.001854555,0,0.001661755,0.001101716,0.049,55.57,0.541,37.21,102,0,0,2.75E-05,0.001009906,0,0,2.75E-05,9.18E-06,9.18E-06,0,0.513872782,-0.139369174
Kailali,0.000109577,0.124091637,0.256349997,0.119112966,0.00168491,0.000840521,0.009213507,0.000648439,0.040573205,0.006628774,0.006352898,0.003944778,0.000876617,0.013713906,0.415858266,0.03,41.14,0.314,39.2,95,0.000167589,3.09E-05,0.000128914,0.002266314,0.000302949,0.000145673,0.000402213,0.000327442,2.32E-05,6.57E-05,0.270263804,-0.164979881
Kalikot,0,0.171086836,0.548945585,0.260529544,0,0,0.005994976,0,0.00414756,0.006089903,0.000197155,0.00028478,0,0.001942343,0.000781318,0.066,54.7,0.541,21.86,101,5.84E-05,0.000313988,0.000299384,0.001964249,0.000467331,0.000167947,0.000445425,3.65E-05,4.38E-05,0.000124135,0.398582336,-0.146058129
Kanchanpur,0.000352356,0.159635057,0.360154505,0.119049835,0.000742386,0.000374517,0.008868737,0.000104156,0.033668847,0.016764617,0.001021611,0.002555136,0.000485321,0.03850211,0.25772081,0.029,36.96,0.317,33.85,92,3.55E-05,1.11E-05,5.98E-05,0.001409425,7.76E-05,8.86E-05,7.76E-05,0.000115236,6.65E-06,2.22E-06,0.238771843,-0.15747902
Kapilbastu,0.000480823,0.085383679,0.053140561,0.026641093,0.01561888,0.096412885,0.262856334,0.081051027,0.039546383,0.003624531,0.181586751,0.003493398,0.005588038,0.020208555,0.124367062,0.032,52.9,0.487,21.78,100,0,3.50E-05,0.00012414,0.003052789,0.000403891,6.64E-05,0.000571742,0.000103158,5.42E-05,3.85E-05,0.146496169,-0.133860114
Kaski,0.000967287,0.2780625,0.168513182,0.150346069,0.000780332,0.000857553,0.010926685,0.000790493,0.282819682,0.035712399,0.008994143,0.04857569,0.001052636,0.005399331,0.006202017,0.003,21.43,0.229,87.47,92,6.91E-05,1.63E-05,0.000132088,0.000869745,0.006078058,0.001207077,0.00417803,0.001505798,0.000396263,0.006218274,0.21221325,-0.191120255
Kathmandu,0.000972343,0.235131633,0.21724304,0.02242352,0.003302871,0.001493487,0.019957116,0.001019928,0.115240449,0.120857795,0.012501147,0.219657845,0.009486653,0.007793079,0.012919094,0.005,15.96,0.32,93.77,110,6.42E-05,0.000590515,3.96E-05,0.001531899,0.000273472,0.000166262,0.000929918,0.000130716,9.75E-05,0.000293538,0.180008096,-0.197266325
Kavrepalanchok,3.93E-05,0.215339179,0.154012311,0.057781781,0.000282769,0.000212077,0.002526595,9.95E-05,0.054021998,0.376357881,0.000832598,0.132665859,0.000138766,0.004440523,0.001248897,0.007,37.23,0.217,71.2,92,0,0,0,0,0,0,0,0,0,0,0,-0.313640253
Khotang,0,0.072060762,0.232148397,0.107429524,0,0.000189034,0.003005157,0,0.464757261,0.062487882,0.000208422,0.054117065,0,0.002316879,0.001279615,0.015,38.02,0.336,18.14,89,2.91E-05,1.94E-05,0,0.000494397,0.001759471,0.000455621,0.000610726,0.000145411,0.000198728,0.000101788,0.293475553,-0.141274995
Lalitpur,0.001501713,0.130433297,0.199131869,0.024975862,0.004374834,0.0019973,0.021013304,0.001048849,0.103231567,0.149964113,0.006562252,0.332393427,0.003249084,0.005496313,0.014626217,0.005,20.32,0.162,83.69,103,0,0,0,0,0,0,0,0,0,0,0.20168732,-0.196009344
Lamjung,7.15E-05,0.127507095,0.177434356,0.179485345,0.000256374,0.000101357,0.001639598,0.000172903,0.379349407,0.087035845,0.00561637,0.037102621,0,0.002772412,0.001454771,0.013,36.38,0.322,56.19,83,0,5.96E-06,1.19E-05,0.000488898,0.001848275,0.000101357,0.001884048,0.001305717,0,0.000351768,0.23285796,-0.154071903
Mahottari,2.07E-05,0.018343478,0.020727238,0.011004175,0.062736225,0.15453966,0.378216323,0.077182192,0.026728067,0.023369132,0.133606871,0.007023806,0.001416552,0.004665541,0.080420026,0.011,62.96,0.436,17.11,98,1.75E-05,3.19E-06,0.000312311,0.001587049,0.000138628,3.19E-05,0.00011632,6.37E-06,1.27E-05,2.87E-05,0.203362002,-0.124314619
Makwanpur,0.00020453,0.140918528,0.114867163,0.040817928,0.001724232,0.000692071,0.011967361,0.00066591,0.074063504,0.541178233,0.004278474,0.061989122,0.00119626,0.002378251,0.003058431,0.027,38.21,0.251,48.05,97,2.62E-05,4.76E-06,6.90E-05,0.001586294,0.000494676,1.19E-05,0.000454246,0.001391277,0,0.000554133,0.337102435,-0.169053264
Manang,0,0.034567146,0.039920465,0.051391863,0,0,0,0,0.573722851,0.268736617,0,0.019424901,0,0.009788926,0.002447232,0.038,29.18,0.547,45.59,127,0,0,0,0.002141328,0,0.000917712,0.000611808,0.000152952,0,0,0.407286072,-0.230384626
Morang,0.000272434,0.130721899,0.129211598,0.039133182,0.009381895,0.071743477,0.084206056,0.052200711,0.136201664,0.038266157,0.047391156,0.031745341,0.01396563,0.02745683,0.188101971,0.01,35.09,0.315,46.49,94,9.63E-05,3.73E-05,0.000122233,0.002033417,0.001301056,0.000411241,0.001486477,0.000841128,0.000540725,0.00021339,0.109966201,-0.153980365
Mugu,0,0.052219368,0.654795066,0.136182759,0,0,0.002532287,0.00032558,0.001483196,0.08825019,0,0.002622725,0,0.060557827,0.001031002,0.047,60.75,0.502,24.38,103,0,0,0,0.007506421,0.000434106,3.62E-05,0.000560721,1.81E-05,5.43E-05,0,0.461501191,-0.118948655
Mustang,0,0.036723164,0.081400535,0.130240856,0,0,0,0,0.510110021,0.214391912,0,0.009812667,0,0.012488849,0.004831995,0.042,38.65,0.547,0,112,0,0,0,0.001932798,0.000892061,0.000520369,0.000743384,0.000297354,0,0.000371692,0.331389052,-0.210154059
Myagdi,0,0.080446318,0.194533663,0.245140398,0.000105596,0.000175993,0.002023917,0,0.449740851,0.002807085,0.001583935,0.013762638,0,0.002983078,0.006696527,0.027,34.84,0.475,0,83,2.64E-05,8.80E-06,3.52E-05,0.000835966,0.000651173,0.000140794,0.00049278,2.64E-05,2.64E-05,3.52E-05,0.306933283,-0.122334613
Nawalparasi,0.000116549,0.174914686,0.081795409,0.067273445,0.003372141,0.062078482,0.102668498,0.039917142,0.207147386,0.03776643,0.037555089,0.019454304,0.000689968,0.013180877,0.152069594,0.013,36.25,0.389,47.57,89,2.80E-05,4.66E-06,0.000153844,0.00013675,0.000402481,0.000265731,0.000295257,7.46E-05,1.09E-05,1.55E-05,0.127235245,-0.159664844
Nuwakot,0,0.189439617,0.135347478,0.067217835,0.000115327,5.05E-05,0.002778669,0.000151367,0.076476461,0.446399804,0.001290225,0.074440212,6.49E-05,0.005643833,0.000583845,0.013,49.41,0.371,31.15,92,2.52E-05,2.16E-05,1.44E-05,0.002176804,0.000288318,6.49E-05,0.000172991,2.16E-05,1.44E-05,1.44E-05,0.269428947,-0.163561692
Okhaldhunga,0,0.106038491,0.235816034,0.103321981,0,0.000236512,0.007683263,0.003378744,0.335448427,0.134724024,0.000175695,0.065439507,0.00013515,0.002817872,0.004784301,0.012,43.86,0.567,52.2,87,6.76E-06,0,2.70E-05,0.000385177,0.00422343,0.000175695,0.01196751,0.003730133,0.000121635,0.001770462,0.212588717,-0.155453452
Palpa,0.000191439,0.174622865,0.095095337,0.120173826,8.42E-05,0.000229727,0.001520025,4.59E-05,0.532781989,0.030289456,0.004709396,0.034577686,4.21E-05,0.003587564,0.002048396,0.018,29.18,0.359,0,80,0.000704495,0.000352247,9.19E-05,0.000436481,0.014346428,0.000168466,0.00497741,0.002251321,0.00015698,0.000417337,0.339989388,-0.154790496
Panchthar,0,0.107362747,0.103729075,0.060807958,0.000161612,0.000265878,0.001970628,0.000166826,0.620753114,0.084080139,0.000286732,0.014300088,0.000344078,0.004097656,0.00167347,0.005,33.09,0.569,62.9,89,2.61E-05,0.000218959,0.000234599,0.001131287,0.000291945,4.69E-05,0.000427491,5.21E-06,3.65E-05,4.17E-05,0.418616278,-0.143979744
Parbat,0,0.357254929,0.212258681,0.234490757,0,0.000109148,0.000948223,0,0.155085613,0.008677263,0.004236305,0.023828365,0,0.001548537,0.00156218,0.008,32.43,0.262,75.35,80,8.19E-05,0.009946108,0.00276963,0.007913227,0.001937376,8.87E-05,0.001002797,0.00011597,0.000184187,6.82E-05,0.252389075,-0.168546085
Parsa,0.000134772,0.026350336,0.038280115,0.005710321,0.026327042,0.120806899,0.380964266,0.076162571,0.015894725,0.025247206,0.145107376,0.016508684,0.011873208,0.012911448,0.09772103,0.025,51.31,0.372,25.49,108,0,0,0,0,0,0,0,0,0,0,0.200490091,-0.214177502
Pyuthan,7.89E-05,0.098587474,0.294030741,0.215986708,0.000214816,0,0.00019728,0.000254272,0.347099105,0.017281742,0.002691778,0.016812654,7.89E-05,0.001012705,0.005672901,0.028,41.99,0.484,21.03,78,0,0,4.38E-06,0.001030241,0.001012705,5.26E-05,0.000135904,0.000464704,0,0,0.263923552,-0.090587528
Ramechhap,0,0.048458889,0.277029894,0.087008873,0.000281279,0.000207258,0.001993624,8.39E-05,0.149625455,0.286233136,0.000162846,0.144967085,5.92E-05,0.003158217,0.000730338,0.018,47.9,0.444,31.27,85,1.48E-05,0,1.48E-05,0.00060697,0.000759946,5.43E-05,0.003089131,0.00016778,4.93E-05,9.87E-05,0.212011652,-0.173666433
