,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Poverty Severity,Adult illiteracy rate,Children <5 years malnourished,Sanitation Coverage (%,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,caste_diversity,Vacc_Access
Khotang,0,0.072060762,0.232148397,0.107429524,0,0.000189034,0.003005157,0,0.464757261,0.062487882,0.000208422,0.054117065,0,0.002316879,0.001279615,0.015,38.02,0.336,18.14,89,3.88E-05,4.85E-06,0,0.000882159,0.000591337,0.00022781,0.000775524,7.27E-05,1.94E-05,7.76E-05,0.293475553,-0.151964901
Lalitpur,0.001501713,0.130433297,0.199131869,0.024975862,0.004374834,0.0019973,0.021013304,0.001048849,0.103231567,0.149964113,0.006562252,0.332393427,0.003249084,0.005496313,0.014626217,0.005,20.32,0.162,83.69,103,0,0,0,0,0,0,0,0,0,0,0.20168732,-0.173415709
Lamjung,7.15E-05,0.127507095,0.177434356,0.179485345,0.000256374,0.000101357,0.001639598,0.000172903,0.379349407,0.087035845,0.00561637,0.037102621,0,0.002772412,0.001454771,0.013,36.38,0.322,56.19,83,0,2.38E-05,5.96E-06,0.000769121,0.002665093,0.000220601,0.001764804,0.001186473,1.19E-05,0.000125206,0.23285796,-0.159672019
Mahottari,2.07E-05,0.018343478,0.020727238,0.011004175,0.062736225,0.15453966,0.378216323,0.077182192,0.026728067,0.023369132,0.133606871,0.007023806,0.001416552,0.004665541,0.080420026,0.011,62.96,0.436,17.11,98,0,3.19E-05,8.76E-05,0.002957392,0.000368081,9.08E-05,0.000380828,1.12E-05,3.03E-05,7.01E-05,0.203362002,-0.127628207
Makwanpur,0.00020453,0.140918528,0.114867163,0.040817928,0.001724232,0.000692071,0.011967361,0.00066591,0.074063504,0.541178233,0.004278474,0.061989122,0.00119626,0.002378251,0.003058431,0.027,38.21,0.251,48.05,97,5.71E-05,6.42E-05,1.66E-05,0.001940653,0.000782445,0.000133182,0.000663532,0.001348469,7.85E-05,0.000411437,0.337102435,-0.156437056
Manang,0,0.034567146,0.039920465,0.051391863,0,0,0,0,0.573722851,0.268736617,0,0.019424901,0,0.009788926,0.002447232,0.038,29.18,0.547,45.59,127,0,0,0,0.002600184,0.000611808,0,0.000152952,0,0,0.000152952,0.407286072,-0.250121952
Morang,0.000272434,0.130721899,0.129211598,0.039133182,0.009381895,0.071743477,0.084206056,0.052200711,0.136201664,0.038266157,0.047391156,0.031745341,0.01396563,0.02745683,0.188101971,0.01,35.09,0.315,46.49,94,0.000210282,2.18E-05,7.98E-05,0.000993401,0.001655324,0.001598351,0.002236448,0.001548629,0.001408786,0.000117054,0.109966201,-0.135944409
Mugu,0,0.052219368,0.654795066,0.136182759,0,0,0.002532287,0.00032558,0.001483196,0.08825019,0,0.002622725,0,0.060557827,0.001031002,0.047,60.75,0.502,24.38,103,0,0,0,0.000922476,0,0,0.000108527,9.04E-05,0,1.81E-05,0.461501191,-0.153804435
Mustang,0,0.036723164,0.081400535,0.130240856,0,0,0,0,0.510110021,0.214391912,0,0.009812667,0,0.012488849,0.004831995,0.042,38.65,0.547,0,112,0,0,0,0.005203687,0.001040737,0.000148677,0.000594707,0.00044603,0.00044603,0,0.331389052,-0.183352298
Myagdi,0,0.080446318,0.194533663,0.245140398,0.000105596,0.000175993,0.002023917,0,0.449740851,0.002807085,0.001583935,0.013762638,0,0.002983078,0.006696527,0.027,34.84,0.475,0,83,1.76E-05,2.64E-05,4.40E-05,0.000369585,0.001531138,0.000114395,0.000668773,0.000175993,8.80E-05,0.000175993,0.306933283,-0.144886904
Nawalparasi,0.000116549,0.174914686,0.081795409,0.067273445,0.003372141,0.062078482,0.102668498,0.039917142,0.207147386,0.03776643,0.037555089,0.019454304,0.000689968,0.013180877,0.152069594,0.013,36.25,0.389,47.57,89,6.22E-06,1.40E-05,0.00013675,7.61E-05,0.000419575,0.000111887,0.000212896,9.01E-05,1.55E-05,7.15E-05,0.127235245,-0.144933791
Nuwakot,0,0.189439617,0.135347478,0.067217835,0.000115327,5.05E-05,0.002778669,0.000151367,0.076476461,0.446399804,0.001290225,0.074440212,6.49E-05,0.005643833,0.000583845,0.013,49.41,0.371,31.15,92,1.80E-05,0.000212635,5.77E-05,0.00107759,0.00035319,0.000133347,0.000472121,0.000129743,3.24E-05,5.05E-05,0.269428947,-0.173204083
Okhaldhunga,0,0.106038491,0.235816034,0.103321981,0,0.000236512,0.007683263,0.003378744,0.335448427,0.134724024,0.000175695,0.065439507,0.00013515,0.002817872,0.004784301,0.012,43.86,0.567,52.2,87,6.76E-06,0,8.11E-05,0.00018921,0.00376392,6.76E-06,0.006007406,0.003074657,6.76E-06,0.002588118,0.212588717,-0.172084945
Palpa,0.000191439,0.174622865,0.095095337,0.120173826,8.42E-05,0.000229727,0.001520025,4.59E-05,0.532781989,0.030289456,0.004709396,0.034577686,4.21E-05,0.003587564,0.002048396,0.018,29.18,0.359,0,80,0.001160119,0.000612604,0.000134007,0.000685351,0.018523624,0.001435791,0.008143809,0.004621334,0.001929704,0.001462593,0.339989388,-0.155781642
Panchthar,0,0.107362747,0.103729075,0.060807958,0.000161612,0.000265878,0.001970628,0.000166826,0.620753114,0.084080139,0.000286732,0.014300088,0.000344078,0.004097656,0.00167347,0.005,33.09,0.569,62.9,89,5.21E-06,0,1.04E-05,0.00055261,0.000140759,1.04E-05,0.000151186,6.78E-05,5.21E-06,3.13E-05,0.418616278,-0.13256358
Parbat,0,0.357254929,0.212258681,0.234490757,0,0.000109148,0.000948223,0,0.155085613,0.008677263,0.004236305,0.023828365,0,0.001548537,0.00156218,0.008,32.43,0.262,75.35,80,0,3.41E-05,7.50E-05,0.000225118,0.002019237,6.82E-05,0.000341087,6.82E-05,7.50E-05,6.14E-05,0.252389075,-0.160426018
Parsa,0.000134772,0.026350336,0.038280115,0.005710321,0.026327042,0.120806899,0.380964266,0.076162571,0.015894725,0.025247206,0.145107376,0.016508684,0.011873208,0.012911448,0.09772103,0.025,51.31,0.372,25.49,108,0,0,0,0,0,0,0,0,0,0,0.200490091,-0.231959156
Pyuthan,7.89E-05,0.098587474,0.294030741,0.215986708,0.000214816,0,0.00019728,0.000254272,0.347099105,0.017281742,0.002691778,0.016812654,7.89E-05,0.001012705,0.005672901,0.028,41.99,0.484,21.03,78,4.38E-05,0,1.75E-05,0.000938177,0.001999106,2.19E-05,0.000179744,0.00026304,4.38E-06,0,0.263923552,-0.105594626
Ramechhap,0,0.048458889,0.277029894,0.087008873,0.000281279,0.000207258,0.001993624,8.39E-05,0.149625455,0.286233136,0.000162846,0.144967085,5.92E-05,0.003158217,0.000730338,0.018,47.9,0.444,31.27,85,1.97E-05,2.47E-05,4.93E-06,0.000473733,0.00121394,8.39E-05,0.001115245,0.000148041,0.000217127,0.000296083,0.212011652,-0.176414271
Rasuwa,0,0.150692841,0.02630485,0.030669746,0.000692841,0,0.001639723,0,0.04743649,0.713441109,0,0.023371824,0,0.0047806,0.000969977,0.024,58.68,0.45,41.89,98,0,0,4.62E-05,0.002632794,0.000438799,2.31E-05,4.62E-05,4.62E-05,0,0,0.536162552,-0.14297417
Rautahat,0.000643637,0.026295939,0.019183891,0.005380634,0.02360635,0.124191449,0.415593209,0.086851739,0.013366399,0.029056882,0.197341865,0.003727855,0.002079444,0.004600115,0.048080592,0.029,66.11,0.397,17.58,105,7.43E-05,1.89E-05,0.000141251,0.0015989,0.000132514,2.48E-05,0.000215517,0.000119408,1.16E-05,1.75E-05,0.23964848,-0.109216978
Rolpa,0,0.01173688,0.37031527,0.16664588,6.68E-05,0.000111356,0.000293979,0,0.438705424,0.000935387,0.000962112,0.002476549,0,0.006213642,0.001536707,0.018,49.26,0.513,20.41,85,0,0.000146989,7.57E-05,0.00238301,0.000797306,4.45E-05,0.000209349,3.56E-05,2.23E-05,5.79E-05,0.35755346,-0.131645973
Rukum,0,0.03313084,0.503560007,0.211922308,9.59E-05,0.000139044,0.000805497,0,0.24363394,0.000781523,0.000604122,0.002824033,0,0.001980179,0.000522614,0.019,49.19,0.513,20.32,91,0,5.27E-05,4.79E-05,0.002138402,0.001073995,7.67E-05,0.000887005,0.000225347,0.000292472,0.000273293,0.358952717,-0.130895614
Rupandehi,0.000653264,0.159338375,0.082774746,0.048173361,0.00881849,0.073141664,0.170424542,0.101337657,0.131747929,0.00860831,0.082331662,0.021356607,0.004435376,0.009753509,0.097104509,0.014,35.61,0.377,48.74,96,0,0,0,0,0,0,0,0,0,0,0.113513106,-0.113060072
Salyan,0,0.026076125,0.640519048,0.169800036,4.54E-05,0,0.000379469,0,0.152340334,0.001497253,0.00110541,0.005733283,0,0.001814852,0.000688819,0.021,44.5,0.541,16.37,92,0,1.65E-05,1.24E-05,0.002099454,0.001814852,0.000107241,0.000552705,0.000111366,1.24E-05,0.000210358,0.463024493,-0.147524307
Sankhuwasabha,0,0.053413715,0.190768669,0.082410452,0.001442592,0.000163788,0.001329201,0.000258281,0.476912222,0.141040178,0.000258281,0.047479558,0.000522861,0.002941881,0.001058321,0.012,36.84,0.474,53.39,90,1.26E-05,1.26E-05,1.26E-05,0.000510262,0.000352774,0.000157488,0.000491363,0.000125991,0.000119691,0.000113392,0.295643157,-0.164868246
Saptari,0.000259666,0.013048974,0.015606522,0.010217681,0.022752016,0.22983056,0.347784396,0.037410603,0.011639584,0.009776563,0.089389067,0.004195319,0.004519118,0.021957377,0.181612554,0.036,54.56,0.334,19.01,96,0,0,4.22E-05,0.00152358,0.000201788,9.39E-06,0.000289386,9.39E-06,6.26E-06,1.56E-05,0.217936324,-0.127954507
Sarlahi,3.38E-05,0.035774929,0.04252016,0.0140504,0.030556209,0.126584811,0.435826115,0.076148878,0.025349181,0.072073418,0.078929078,0.009551414,0.003955938,0.003614259,0.045031433,0.011,62,0.377,17.47,103,3.90E-06,7.67E-05,0.000102634,0.001032831,0.000300106,0.000544347,0.000522262,0.000202669,0.000111728,0.000198771,0.230200405,-0.109392555
Sindhuli,0,0.0779123,0.147944576,0.112497974,0.002123623,0.00684691,0.008717318,0.000229581,0.176797483,0.400966265,0.000604338,0.062803857,0,0.001242437,0.001313337,0.036,48.92,0.363,21.01,92,5.06E-05,0.000121543,4.73E-05,0.00054019,0.000226205,1.01E-05,4.39E-05,4.05E-05,2.36E-05,3.38E-06,0.236720407,-0.162847489
Sindhupalchok,0.000799172,0.103284248,0.220717309,0.07338133,0.00014941,6.25E-05,0.001761652,0.000145936,0.064378488,0.421656857,0.000132037,0.111109181,0,0.001587919,0.000833918,0.017,50.49,0.466,33.85,93,1.39E-05,0,0,0.001462832,0.000997227,0.000472554,0.00035789,7.30E-05,2.08E-05,3.13E-05,0.259059954,-0.172781253
Siraha,3.14E-05,0.009420581,0.013266324,0.009630834,0.011204592,0.210340672,0.464627319,0.054874413,0.015696784,0.033497665,0.074867258,0.005341049,0.004125035,0.012193094,0.080882999,0.027,60.04,0.397,18.47,95,4.08E-05,0,8.32E-05,0.000484837,0.00014906,5.33E-05,0.000262031,4.71E-05,2.67E-05,5.33E-05,0.277325848,-0.109511654
Solukhumbu,0,0.046200631,0.158028446,0.077319003,0.000368321,0.000226659,0.006185898,0,0.54342406,0.138837996,0.000122774,0.024488601,0.000151106,0.002984342,0.001662165,0.019,42.49,0.476,39.64,94,0.000245547,0,0,0.000132218,0.000358877,0.000103885,0.000793306,0.00348488,2.83E-05,0.000207771,0.348321265,-0.160505813
Sunsari,0.000141456,0.079912297,0.099948002,0.036060863,0.008461179,0.078015736,0.14639411,0.016701005,0.147538858,0.036211488,0.115487232,0.038036011,0.009921583,0.011438309,0.175731872,0.006,37.12,0.294,51.33,95,0,1.31E-06,4.19E-05,0.000272434,2.10E-05,0,2.75E-05,1.57E-05,0,3.93E-06,0.114518179,-0.134161126
Surkhet,3.99E-05,0.115278047,0.380622798,0.258041527,0.000242301,0.000139679,0.001718909,3.14E-05,0.203629377,0.007460006,0.005202335,0.005436084,0.000136829,0.002317533,0.01970331,0.026,33,0.579,36.53,93,5.70E-06,0,1.14E-05,0.004156167,0.000305014,8.84E-05,0.000444693,0.000248002,5.70E-06,5.42E-05,0.266722008,-0.126751056
Syangja,4.50E-05,0.308807254,0.145541384,0.158669609,0.000491098,8.30E-05,0.001407584,0,0.330014387,0.010600108,0.006868455,0.033322036,4.84E-05,0.002856669,0.001245037,0.007,29.63,0.391,68.4,77,1.38E-05,4.15E-05,3.11E-05,0.001307289,0.001891765,0.000518765,0.001030614,0.000307801,0.000107212,0.000131421,0.251911596,-0.144741382
Tanahu,3.71E-05,0.118723862,0.1462968,0.161465937,0.000238178,0.000300042,0.003455124,0.00035572,0.42843842,0.046039445,0.012901809,0.076786024,0.000241271,0.003229319,0.001490931,0.011,31.68,0.473,56.63,80,1.24E-05,2.47E-05,1.55E-05,0.001082626,0.000460889,0.00017322,0.000637203,5.57E-05,4.02E-05,5.57E-05,0.253335941,-0.163944324
Taplejung,0,0.077796346,0.127693961,0.071166867,0,0.000156911,0.001357278,0.000125529,0.621327308,0.078769192,0,0.015918595,0,0.004244436,0.001443579,0.017,34.28,0.385,53.82,90,0.000305976,0,7.85E-06,0.001443579,0.001545571,0.000564879,0.000258903,0.000125529,3.92E-05,2.35E-05,0.419950335,-0.120190415
Terhathum,0,0.133219134,0.206572354,0.092944269,0.000354411,0,0.001073078,0.000226429,0.463018203,0.0698288,0.000305187,0.028923871,0,0.0025301,0.001004164,0.007,30.64,0.634,58.13,87,9.84E-06,1.97E-05,9.84E-06,0.001427489,0.000521772,0.000108292,0.000502082,9.84E-05,9.84E-06,7.88E-05,0.289165451,-0.156927746
Udayapur,0,0.059902624,0.228153383,0.106584533,0.001209327,0.013315193,0.020473527,0.000784173,0.328370054,0.11873449,0.006824509,0.034443773,0.000462945,0.002012396,0.078729073,0.019,39.3,0.3,25.7,89,6.30E-06,6.93E-05,0.00013227,0.002462744,0.000513334,0.000129121,0.000503886,8.50E-05,0,6.30E-06,0.19696134,-0.127416419
Achham,0,0.102036298,0.581749049,0.135157703,0.00010098,0,0.004920828,0,0.006921007,0.002637129,0.000998147,0.000493248,0.001743845,0.162239734,0.001002031,0.047,54.92,0.592,19.08,87,9.71E-05,0.000376733,0,0.000376733,0.00320417,0.000318475,0.001732194,0.001549653,6.21E-05,0.000504899,0.393517063,-0.228135702
Arghakhanchi,0,0.327664548,0.193248057,0.209019794,0.001603991,6.58E-05,0.001057521,0,0.193349255,0.034726158,0.008971219,0.027971179,0,0.00113848,0.001184019,0.024,34.43,0.31,46.2,77,0,0.000809585,0,0.000809585,0.001437014,3.04E-05,0.000986682,5.06E-05,5.57E-05,5.06E-05,0.227857246,-0.15045965
Baglung,4.47E-05,0.195385182,0.205600622,0.26323,0.001165245,0,0.000926984,0,0.308175703,0.009563945,0.002762338,0.010721745,0,0.001786957,0.000636604,0.018,34.46,0.429,59.32,78,0.000104239,0.000323886,1.12E-05,0.000323886,0.002710219,0.000107962,0.002311876,0.000301549,0.000156359,0.000182419,0.244929155,-0.15789343
Baitadi,5.18E-05,0.185497692,0.603898796,0.083153313,0.001610216,0.000127542,0.052499422,0,0.003870099,0.000617781,8.37E-05,0.000482268,0.000135513,0.066975424,0.000996421,0.046,45.15,0.592,25.59,88,3.99E-06,0.012527003,0.000773223,0.012527003,5.98E-05,2.79E-05,5.58E-05,3.19E-05,0,0,0.413278741,0.314145616
Bajhang,7.69E-05,0.101952767,0.726489683,0.11310265,0.000497031,0.000102481,0.000276697,0,0.002054735,0.001393735,0,0.000912077,0.000261325,0.052198464,0.000681496,0.063,54.97,0.632,14.03,91,0.000502155,0.004621872,0.000312566,0.004621872,0.002357052,0.00047141,0.002346804,0.000245953,7.69E-05,0.000297194,0.553706384,0.585343645
Bajura,0,0.07001601,0.653892908,0.203199122,0.000103771,0.000111184,0.040522711,0.000689338,0.003142789,0.014520576,0.000741224,0.000452147,0.000318726,0.010436433,0.00185306,0.082,55.48,0.508,10.57,95,6.67E-05,0.003157614,0.000733812,0.003157614,0.000103771,4.45E-05,5.19E-05,1.48E-05,0,0,0.475744581,0.664094572
Banke,0.000578043,0.066468829,0.194220385,0.067950573,0.01539141,0.043589321,0.125246024,0.022515179,0.06686776,0.006443957,0.18989524,0.012912339,0.005084335,0.024819209,0.158017394,0.024,43.69,0.448,35.97,99,0,0.000632998,2.04E-06,0.000632998,0.000168935,6.11E-06,6.72E-05,0.00010991,1.22E-05,1.22E-05,0.131438795,-0.261892127
Bara,7.27E-05,0.043175301,0.035685204,0.005963287,0.010929057,0.111857067,0.362694632,0.078235239,0.015726151,0.053627412,0.130628115,0.008416363,0.001423569,0.006693248,0.134872649,0.025,56.75,0.396,19.06,104,0,4.22E-05,2.91E-06,4.22E-05,0.00013814,2.33E-05,0.000250106,0.000119237,4.36E-05,6.83E-05,0.191967912,-0.290473907
Bardiya,6.80E-05,0.087159146,0.145176944,0.08406005,0.003185833,0.013683376,0.032378755,0.020528581,0.038023705,0.005994243,0.025955516,0.005623851,0.000743127,0.005973144,0.531445745,0.025,43.46,0.506,39.16,93,7.50E-05,0.000243802,0,0.000243802,0.000450096,0.000128934,0.000534489,0.000290687,4.45E-05,4.45E-05,0.322064209,-0.255417556
Bhaktapur,0.000131298,0.142303816,0.214602939,0.017259093,0.001834886,0.00041687,0.007917256,0.000331527,0.047585598,0.093717073,0.004943361,0.455842915,0.000679466,0.00604298,0.006390919,0.01,21.87,0.269,87.1,103,6.56E-06,0.000311832,6.56E-06,0.000311832,0.000889542,0.000512061,0.001010993,0.000108321,9.85E-05,0.00013458,0.285611327,-0.229356474
Bhojpur,7.67E-05,0.061865953,0.208024817,0.098175481,0.000263073,0.000115094,0.001627763,0.000279515,0.435906149,0.109745203,0.000104133,0.08036326,0,0.002526595,0.000926235,0.014,36.91,0.455,36.8,89,0.000553549,0.00032336,0,0.00032336,0.000224708,5.48E-05,6.03E-05,0.00040009,0,0,0.265266648,-0.232110275
Chitawan,0.000215523,0.285614776,0.126034511,0.084391983,0.001234517,0.002317305,0.016619424,0.001760393,0.146547146,0.158440578,0.011689978,0.052166956,0.001239689,0.002082816,0.109644404,0.005,27.77,0.42,83.08,93,2.24E-05,1.90E-05,0,1.90E-05,0.004882893,0.002734558,0.009450261,0.001910398,0.001946605,0.005560498,0.166334049,-0.279338507
Dadeldhura,0,0.158184019,0.578968852,0.188586429,0.00020409,0.000161865,0.01837516,0,0.039143102,0.002871339,0.000260391,0.008818106,0,0.003251369,0.001175278,0.045,42.74,0.486,43.08,88,0,0.000401143,7.04E-06,0.000401143,0.001625684,0.000830436,0.001541233,0.001076752,0.000858587,0.00055597,0.397759877,-0.079601803
Dailekh,0,0.108824541,0.504759904,0.269117928,0,0,0.000546281,0,0.105623257,0.003006456,0.001753448,0.00311724,4.20E-05,0.002681744,0.00052718,0.031,47.7,0.456,19.86,94,3.82E-06,0.004431371,4.20E-05,0.004431371,0.000645605,0.000160446,0.000332353,7.26E-05,4.20E-05,4.58E-05,0.350235673,-0.099509561
Dang,7.60E-05,0.102455197,0.284663118,0.114116793,0.000378224,0.001847686,0.020136342,0.000689489,0.141021349,0.018022632,0.008644855,0.008319112,0.000164681,0.004216561,0.295247954,0.02,37.59,0.393,44.11,90,0,0.000770925,6.33E-05,0.000770925,0.001388027,0.000445182,0.001185342,0.000434324,0.000106771,0.000188207,0.212507249,-0.091031715
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,0.059,41.8,0.478,16.43,91,0,0,0,0,0,0,0,0,0,0,0,-0.313640253
Dhading,0,0.149809413,0.166701878,0.116179214,0.000238048,0.00022317,0.003174962,0.000160682,0.160569172,0.30354959,0.003076767,0.093990186,0,0.001362823,0.000964093,0.012,46.74,0.263,51.43,89,0.000166633,0.002008528,0.002883354,0.002008528,0.001702042,0.00037195,0.001347945,0.000458242,0.000258877,0.000184487,0.19051142,2.728838556
Dhankuta,7.34E-05,0.05414535,0.213754192,0.073293271,0.000501799,0.000483441,0.003127065,0.000336573,0.529000318,0.071126967,0.00098524,0.046710156,0.000556875,0.003273933,0.002631386,0.008,31.41,0.449,48.64,88,0.000140749,0.010660172,0.000758818,0.010660172,0.000881208,0.000152988,0.001364649,0.000116271,2.45E-05,0.000171346,0.341106004,0.629032596
