,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Poverty Severity,Adult illiteracy rate,Children <5 years malnourished,Sanitation Coverage (%,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,caste_diversity,Vacc_Access
Dhanusa,3.31E-05,0.013621242,0.015706626,0.009863841,0.042258839,0.158142074,0.428089356,0.124253919,0.015383352,0.027510112,0.084391814,0.006058743,0.003675258,0.013944516,0.057067187,0.014,58.11,0.436,23.87,101,1.32E-06,0.00081481,9.80E-05,0.00081481,0.000137789,2.12E-05,0.000209333,2.52E-05,3.18E-05,8.08E-05,0.237640552,-0.141663133
Dolakha,0,0.091977251,0.343042609,0.087244113,0.000305537,0.000310897,0.001559845,0.000112566,0.109644773,0.269681652,0.000246573,0.09379439,0,0.001624168,0.000455625,0.018,46.4,0.44,48.13,87,5.36E-06,0.001409757,3.75E-05,0.001409757,0.001039897,0.000509228,0.000412742,0.001329352,4.29E-05,6.43E-05,0.227302681,0.516499406
Dolpa,0,0.017166213,0.515504087,0.134114441,0,0,0.000381471,0,0.197029973,0.129482289,0.000381471,0.002370572,0,0.001716621,0.001852861,0.04,55.78,0.541,17.64,99,2.72E-05,0.001226158,5.45E-05,0.001226158,5.45E-05,0.00027248,0.00013624,2.72E-05,2.72E-05,0,0.33962459,0.875861966
Doti,5.19E-05,0.080417104,0.617848743,0.203635488,0.000420315,0.000255023,0.012141906,0,0.036184863,0.004278711,0.000547826,0.005393254,0.000406147,0.036600455,0.001818216,0.052,52.32,0.576,23.31,85,2.83E-05,0.001907946,4.72E-05,0.001907946,0.000472264,0.000113343,0.000354198,0.000198351,0,1.89E-05,0.432519165,-0.190732799
Gorkha,6.64E-05,0.152102294,0.1291997,0.162634979,7.38E-05,0.000206596,0.001313358,0.000431637,0.324974821,0.13738605,0.011274215,0.077672553,0.000129122,0.001663832,0.000870653,0.018,41.83,0.313,44.15,81,1.11E-05,0.001649075,7.38E-06,0.001649075,0.001261709,0.000309893,0.004013857,0.001235884,2.21E-05,0.00014019,0.196927008,-0.219549629
Gulmi,0.000217733,0.253130354,0.255821673,0.206871074,0,0.000124929,0.000831668,0.000328384,0.226456311,0.034908624,0.001538407,0.01769703,0,0.001424186,0.000649629,0.02,34.42,0.433,67.03,76,0.000185608,0.002377213,5.35E-05,0.002377213,0.000531839,6.78E-05,0.001923901,0.000110651,0,9.99E-05,0.225135283,-0.176656819
Humla,0,0.064316332,0.584018247,0.156946793,0,0,0.002752763,0,0.004876322,0.183157025,0.000216288,0.000511227,0,0.001926934,0.001278068,0.067,62.78,0.657,25.83,103,0,0,0,0,1.97E-05,1.97E-05,0.000235951,1.97E-05,3.93E-05,0,0.403429706,0.862196429
Ilam,9.99E-05,0.138981719,0.144631943,0.054149125,0.000275621,0.000306628,0.002776878,0.000423767,0.516964452,0.094789391,0.000778628,0.036633431,0.001257519,0.005109318,0.002821667,0.003,26.54,0.461,67.97,95,6.55E-05,0.000585694,3.45E-06,0.000585694,0.000640818,5.86E-05,0.000275621,9.30E-05,2.76E-05,6.89E-06,0.320790052,-0.168220476
Jajarkot,0,0.046181058,0.566886938,0.288247793,6.42E-05,0.001004063,0.001138327,0,0.091375566,0.000863961,0,0.001838836,0,0.001611171,0.000788073,0.031,53.08,0.513,25.25,100,0.00214239,0.018365012,0.000379442,0.018365012,0.000542895,0.00016929,0.00036193,7.59E-05,1.17E-05,0.000198478,0.414939428,-0.066855891
Jhapa,0.000110749,0.237847782,0.171364056,0.055203347,0.006093644,0.008067434,0.03207654,0.006142866,0.157701347,0.047166677,0.031990402,0.032769335,0.011058881,0.010512521,0.191894419,0.005,30.08,0.242,57.14,90,0,0.000575894,0,0.000575894,0.000941365,7.75E-05,0.00077278,3.57E-05,1.60E-05,1.85E-05,0.15640139,-0.000662385
Jumla,0,0.109473839,0.687626812,0.169636709,0,0,0.0098879,0,0.005912542,0.011825084,0.001019087,0.001854555,0,0.001661755,0.001101716,0.049,55.57,0.541,37.21,102,0,0.000422324,9.18E-06,0.000422324,6.43E-05,0,2.75E-05,9.18E-06,0,9.18E-06,0.513872782,0.041069712
Kailali,0.000109577,0.124091637,0.256349997,0.119112966,0.00168491,0.000840521,0.009213507,0.000648439,0.040573205,0.006628774,0.006352898,0.003944778,0.000876617,0.013713906,0.415858266,0.03,41.14,0.314,39.2,95,2.97E-05,0.001341998,7.73E-06,0.001341998,0.000359671,0.000217865,0.000911424,0.00075157,0.000283612,3.61E-05,0.270263804,-0.304853714
Kalikot,0,0.171086836,0.548945585,0.260529544,0,0,0.005994976,0,0.00414756,0.006089903,0.000197155,0.00028478,0,0.001942343,0.000781318,0.066,54.7,0.541,21.86,101,1.46E-05,0.008061454,0.00039431,0.008061454,0.000270176,8.76E-05,0.000167947,8.76E-05,2.92E-05,2.92E-05,0.398582336,0.088905199
Kanchanpur,0.000352356,0.159635057,0.360154505,0.119049835,0.000742386,0.000374517,0.008868737,0.000104156,0.033668847,0.016764617,0.001021611,0.002555136,0.000485321,0.03850211,0.25772081,0.029,36.96,0.317,33.85,92,7.76E-05,0.001710811,0.000221608,0.001710811,6.65E-06,8.64E-05,4.65E-05,5.10E-05,4.43E-06,1.33E-05,0.238771843,-0.180746442
Kapilbastu,0.000480823,0.085383679,0.053140561,0.026641093,0.01561888,0.096412885,0.262856334,0.081051027,0.039546383,0.003624531,0.181586751,0.003493398,0.005588038,0.020208555,0.124367062,0.032,52.9,0.487,21.78,100,1.75E-06,0.001265876,6.29E-05,0.001265876,0.000335702,2.10E-05,0.00063119,2.97E-05,2.97E-05,3.50E-06,0.146496169,-0.083132945
Kaski,0.000967287,0.2780625,0.168513182,0.150346069,0.000780332,0.000857553,0.010926685,0.000790493,0.282819682,0.035712399,0.008994143,0.04857569,0.001052636,0.005399331,0.006202017,0.003,21.43,0.229,87.47,92,0,0,0,0,0.009756187,0.001520022,0.005742759,0.006616568,0.001944735,0.006466192,0.21221325,-0.059781398
Kathmandu,0.000972343,0.235131633,0.21724304,0.02242352,0.003302871,0.001493487,0.019957116,0.001019928,0.115240449,0.120857795,0.012501147,0.219657845,0.009486653,0.007793079,0.012919094,0.005,15.96,0.32,93.77,110,4.70E-05,0.00129856,0.000159955,0.00129856,0.002250264,0.000772256,0.003379695,0.002311035,0.000439733,0.00119823,0.180008096,-0.275820127
Kavrepalanchok,3.93E-05,0.215339179,0.154012311,0.057781781,0.000282769,0.000212077,0.002526595,9.95E-05,0.054021998,0.376357881,0.000832598,0.132665859,0.000138766,0.004440523,0.001248897,0.007,37.23,0.217,71.2,92,0,0,0,0,0,0,0,0,0,0,0,-0.313640253
Khotang,0,0.072060762,0.232148397,0.107429524,0,0.000189034,0.003005157,0,0.464757261,0.062487882,0.000208422,0.054117065,0,0.002316879,0.001279615,0.015,38.02,0.336,18.14,89,4.36E-05,0.000484703,4.85E-06,0.000484703,0.000271434,0.000378068,0.000159952,4.85E-06,1.45E-05,0,0.293475553,7.177512316
Lalitpur,0.001501713,0.130433297,0.199131869,0.024975862,0.004374834,0.0019973,0.021013304,0.001048849,0.103231567,0.149964113,0.006562252,0.332393427,0.003249084,0.005496313,0.014626217,0.005,20.32,0.162,83.69,103,5.77E-05,0.001029624,2.78E-05,0.001029624,0,0,0,0,0,0,0.20168732,-0.232459205
Lamjung,7.15E-05,0.127507095,0.177434356,0.179485345,0.000256374,0.000101357,0.001639598,0.000172903,0.379349407,0.087035845,0.00561637,0.037102621,0,0.002772412,0.001454771,0.013,36.38,0.322,56.19,83,1.19E-05,0.001955594,4.77E-05,0.001955594,0.003893301,0.001174549,0.00060218,0.001901934,4.77E-05,9.54E-05,0.23285796,-0.149884638
Mahottari,2.07E-05,0.018343478,0.020727238,0.011004175,0.062736225,0.15453966,0.378216323,0.077182192,0.026728067,0.023369132,0.133606871,0.007023806,0.001416552,0.004665541,0.080420026,0.011,62.96,0.436,17.11,98,0.000447752,0.001038911,9.56E-06,0.001038911,0.000565665,0.000103572,0.000403136,5.58E-05,0.000124287,0.000137034,0.203362002,-0.239658387
Makwanpur,0.00020453,0.140918528,0.114867163,0.040817928,0.001724232,0.000692071,0.011967361,0.00066591,0.074063504,0.541178233,0.004278474,0.061989122,0.00119626,0.002378251,0.003058431,0.027,38.21,0.251,48.05,97,0,9.28E-05,0,9.28E-05,0.000601698,3.33E-05,0.000523215,0.001025026,0,0.000363872,0.337102435,-0.211077531
Manang,0,0.034567146,0.039920465,0.051391863,0,0,0,0,0.573722851,0.268736617,0,0.019424901,0,0.009788926,0.002447232,0.038,29.18,0.547,45.59,127,0,0.001682472,0.000305904,0.001682472,0,0,0.000305904,0.000152952,0,0,0.407286072,12.08008415
Morang,0.000272434,0.130721899,0.129211598,0.039133182,0.009381895,0.071743477,0.084206056,0.052200711,0.136201664,0.038266157,0.047391156,0.031745341,0.01396563,0.02745683,0.188101971,0.01,35.09,0.315,46.49,94,0,0.000124305,4.14E-06,0.000124305,0.002969846,0.004762941,0.007496608,0.004782622,0.004996012,0.000528295,0.109966201,-0.313177668
Mugu,0,0.052219368,0.654795066,0.136182759,0,0,0.002532287,0.00032558,0.001483196,0.08825019,0,0.002622725,0,0.060557827,0.001031002,0.047,60.75,0.502,24.38,103,0,0.001573635,0.000144702,0.001573635,0.000180878,0,0.000217053,9.04E-05,1.81E-05,0,0.461501191,-0.288983749
Mustang,0,0.036723164,0.081400535,0.130240856,0,0,0,0,0.510110021,0.214391912,0,0.009812667,0,0.012488849,0.004831995,0.042,38.65,0.547,0,112,0.004237288,0.04014273,0.00275052,0.04014273,0.001338091,0.000148677,0.000223015,0.000966399,7.43E-05,0,0.331389052,0.999122808
Myagdi,0,0.080446318,0.194533663,0.245140398,0.000105596,0.000175993,0.002023917,0,0.449740851,0.002807085,0.001583935,0.013762638,0,0.002983078,0.006696527,0.027,34.84,0.475,0,83,0.008535652,0.001055957,0,0.001055957,0.000571977,0.000228791,0.000519179,2.64E-05,3.52E-05,0.000140794,0.306933283,-0.126725325
Nawalparasi,0.000116549,0.174914686,0.081795409,0.067273445,0.003372141,0.062078482,0.102668498,0.039917142,0.207147386,0.03776643,0.037555089,0.019454304,0.000689968,0.013180877,0.152069594,0.013,36.25,0.389,47.57,89,0.000251745,0.000149182,4.66E-05,0.000149182,0.000354308,6.99E-05,0.000153844,0.000118103,1.40E-05,4.66E-06,0.127235245,-0.247679265
Nuwakot,0,0.189439617,0.135347478,0.067217835,0.000115327,5.05E-05,0.002778669,0.000151367,0.076476461,0.446399804,0.001290225,0.074440212,6.49E-05,0.005643833,0.000583845,0.013,49.41,0.371,31.15,92,0,0.000338774,0.000356794,0.000338774,0.000327962,0.000187407,0.000385626,0.000129743,8.65E-05,0.000374814,0.269428947,-0.149947909
Okhaldhunga,0,0.106038491,0.235816034,0.103321981,0,0.000236512,0.007683263,0.003378744,0.335448427,0.134724024,0.000175695,0.065439507,0.00013515,0.002817872,0.004784301,0.012,43.86,0.567,52.2,87,0,0,0,0,0.005392475,2.70E-05,0.006000649,0.002054276,2.70E-05,0.002479998,0.212588717,-0.022110836
Palpa,0.000191439,0.174622865,0.095095337,0.120173826,8.42E-05,0.000229727,0.001520025,4.59E-05,0.532781989,0.030289456,0.004709396,0.034577686,4.21E-05,0.003587564,0.002048396,0.018,29.18,0.359,0,80,0,0.006727161,0.000168466,0.006727161,0.023818822,0.001987135,0.010659315,0.004154223,0.000225898,0.000834673,0.339989388,0.087486149
Panchthar,0,0.107362747,0.103729075,0.060807958,0.000161612,0.000265878,0.001970628,0.000166826,0.620753114,0.084080139,0.000286732,0.014300088,0.000344078,0.004097656,0.00167347,0.005,33.09,0.569,62.9,89,2.09E-05,0.006355015,5.21E-06,0.006355015,0.000260665,1.56E-05,0.000265878,0.000302372,5.21E-06,5.21E-06,0.418616278,0.610196525
Parbat,0,0.357254929,0.212258681,0.234490757,0,0.000109148,0.000948223,0,0.155085613,0.008677263,0.004236305,0.023828365,0,0.001548537,0.00156218,0.008,32.43,0.262,75.35,80,0,0.000866362,1.36E-05,0.000866362,0.00128931,5.46E-05,0.000484344,1.36E-05,0,6.82E-05,0.252389075,0.448360216
Parsa,0.000134772,0.026350336,0.038280115,0.005710321,0.026327042,0.120806899,0.380964266,0.076162571,0.015894725,0.025247206,0.145107376,0.016508684,0.011873208,0.012911448,0.09772103,0.025,51.31,0.372,25.49,108,0,0.000387676,1.66E-05,0.000387676,0,0,0,0,0,0,0.200490091,-0.260766346
Pyuthan,7.89E-05,0.098587474,0.294030741,0.215986708,0.000214816,0,0.00019728,0.000254272,0.347099105,0.017281742,0.002691778,0.016812654,7.89E-05,0.001012705,0.005672901,0.028,41.99,0.484,21.03,78,3.07E-05,0.001459873,8.77E-05,0.001459873,0.000999553,9.64E-05,0.001131073,0.000697057,1.75E-05,0.00026304,0.263923552,3.339225262
Ramechhap,0,0.048458889,0.277029894,0.087008873,0.000281279,0.000207258,0.001993624,8.39E-05,0.149625455,0.286233136,0.000162846,0.144967085,5.92E-05,0.003158217,0.000730338,0.018,47.9,0.444,31.27,85,1.97E-05,0.001692607,6.91E-05,0.001692607,0.000883314,8.39E-05,0.001130049,0.000172715,4.93E-05,0.000236866,0.212011652,-0.09582001
Rasuwa,0,0.150692841,0.02630485,0.030669746,0.000692841,0,0.001639723,0,0.04743649,0.713441109,0,0.023371824,0,0.0047806,0.000969977,0.024,58.68,0.45,41.89,98,0,0.03778291,0.000254042,0.03778291,0.000946882,4.62E-05,0.000323326,0.000254042,4.62E-05,0.000277136,0.536162552,0.587301106
Rautahat,0.000643637,0.026295939,0.019183891,0.005380634,0.02360635,0.124191449,0.415593209,0.086851739,0.013366399,0.029056882,0.197341865,0.003727855,0.002079444,0.004600115,0.048080592,0.029,66.11,0.397,17.58,105,1.02E-05,0.002181378,9.47E-05,0.002181378,0.000106302,1.75E-05,0.000187849,4.37E-06,2.04E-05,0,0.23964848,-0.259254248
Rolpa,0,0.01173688,0.37031527,0.16664588,6.68E-05,0.000111356,0.000293979,0,0.438705424,0.000935387,0.000962112,0.002476549,0,0.006213642,0.001536707,0.018,49.26,0.513,20.41,85,4.45E-06,0.008240314,0.000289525,0.008240314,0.000930933,8.02E-05,0.001278362,0.000182623,8.91E-06,4.45E-05,0.35755346,-0.13897535
Rukum,0,0.03313084,0.503560007,0.211922308,9.59E-05,0.000139044,0.000805497,0,0.24363394,0.000781523,0.000604122,0.002824033,0,0.001980179,0.000522614,0.019,49.19,0.513,20.32,91,4.79E-06,0.007110425,6.71E-05,0.007110425,0.002071277,0.000292472,0.000560971,0.00024932,2.40E-05,0.000172606,0.358952717,0.193680013
Rupandehi,0.000653264,0.159338375,0.082774746,0.048173361,0.00881849,0.073141664,0.170424542,0.101337657,0.131747929,0.00860831,0.082331662,0.021356607,0.004435376,0.009753509,0.097104509,0.014,35.61,0.377,48.74,96,1.14E-06,0.000638494,2.27E-06,0.000638494,0,0,0,0,0,0,0.113513106,-0.207705804
Salyan,0,0.026076125,0.640519048,0.169800036,4.54E-05,0,0.000379469,0,0.152340334,0.001497253,0.00110541,0.005733283,0,0.001814852,0.000688819,0.021,44.5,0.541,16.37,92,0,0.001039415,0,0.001039415,0.001002293,5.36E-05,0.000296976,0.000136114,2.06E-05,3.71E-05,0.463024493,-0.036253461
Sankhuwasabha,0,0.053413715,0.190768669,0.082410452,0.001442592,0.000163788,0.001329201,0.000258281,0.476912222,0.141040178,0.000258281,0.047479558,0.000522861,0.002941881,0.001058321,0.012,36.84,0.474,53.39,90,0,3.15E-05,6.30E-06,3.15E-05,0.000113392,0.000214184,0.00039687,0.000157488,6.30E-06,3.15E-05,0.295643157,0.095385462
Saptari,0.000259666,0.013048974,0.015606522,0.010217681,0.022752016,0.22983056,0.347784396,0.037410603,0.011639584,0.009776563,0.089389067,0.004195319,0.004519118,0.021957377,0.181612554,0.036,54.56,0.334,19.01,96,0,0.000218995,3.13E-06,0.000218995,1.56E-05,7.82E-06,0.000218995,7.82E-06,3.13E-06,1.88E-05,0.217936324,-0.240848915
Sarlahi,3.38E-05,0.035774929,0.04252016,0.0140504,0.030556209,0.126584811,0.435826115,0.076148878,0.025349181,0.072073418,0.078929078,0.009551414,0.003955938,0.003614259,0.045031433,0.011,62,0.377,17.47,103,0,0.000483287,0,0.000483287,0.000144207,5.07E-05,0.000141608,7.41E-05,0.00017019,1.69E-05,0.230200405,-0.2713394
Sindhuli,0,0.0779123,0.147944576,0.112497974,0.002123623,0.00684691,0.008717318,0.000229581,0.176797483,0.400966265,0.000604338,0.062803857,0,0.001242437,0.001313337,0.036,48.92,0.363,21.01,92,0,0.000243086,0,0.000243086,0.000249838,8.10E-05,0.0001418,7.77E-05,2.36E-05,2.36E-05,0.236720407,-0.288553453
Sindhupalchok,0.000799172,0.103284248,0.220717309,0.07338133,0.00014941,6.25E-05,0.001761652,0.000145936,0.064378488,0.421656857,0.000132037,0.111109181,0,0.001587919,0.000833918,0.017,50.49,0.466,33.85,93,0,0.00041001,0,0.00041001,0.000986803,0.000337042,0.000670609,5.91E-05,8.34E-05,0.000239751,0.259059954,-0.245049108
Siraha,3.14E-05,0.009420581,0.013266324,0.009630834,0.011204592,0.210340672,0.464627319,0.054874413,0.015696784,0.033497665,0.074867258,0.005341049,0.004125035,0.012193094,0.080882999,0.027,60.04,0.397,18.47,95,0,0.00034676,1.41E-05,0.00034676,0.000200839,9.57E-05,0.000269877,6.43E-05,3.14E-05,4.24E-05,0.277325848,-0.271966104
Solukhumbu,0,0.046200631,0.158028446,0.077319003,0.000368321,0.000226659,0.006185898,0,0.54342406,0.138837996,0.000122774,0.024488601,0.000151106,0.002984342,0.001662165,0.019,42.49,0.476,39.64,94,0.000169994,0.00112385,3.78E-05,0.00112385,0.000897191,9.44E-06,0.000812194,0.002738795,1.89E-05,0.00075553,0.348321265,-0.21694981
Sunsari,0.000141456,0.079912297,0.099948002,0.036060863,0.008461179,0.078015736,0.14639411,0.016701005,0.147538858,0.036211488,0.115487232,0.038036011,0.009921583,0.011438309,0.175731872,0.006,37.12,0.294,51.33,95,2.23E-05,0.002523946,4.45E-05,0.002523946,0.000444015,2.10E-05,0.000153244,6.55E-06,2.62E-06,1.57E-05,0.114518179,-0.301001844
Surkhet,3.99E-05,0.115278047,0.380622798,0.258041527,0.000242301,0.000139679,0.001718909,3.14E-05,0.203629377,0.007460006,0.005202335,0.005436084,0.000136829,0.002317533,0.01970331,0.026,33,0.579,36.53,93,2.00E-05,0.001345481,5.13E-05,0.001345481,0.000820971,0.000128277,0.0007212,0.000208093,5.13E-05,3.42E-05,0.266722008,1.521171137
Syangja,4.50E-05,0.308807254,0.145541384,0.158669609,0.000491098,8.30E-05,0.001407584,0,0.330014387,0.010600108,0.006868455,0.033322036,4.84E-05,0.002856669,0.001245037,0.007,29.63,0.391,68.4,77,0.000418471,0.008884723,0.000259383,0.008884723,0.002815167,0.000608685,0.001701551,0.000273216,3.11E-05,8.65E-05,0.251911596,-0.234726113
Tanahu,3.71E-05,0.118723862,0.1462968,0.161465937,0.000238178,0.000300042,0.003455124,0.00035572,0.42843842,0.046039445,0.012901809,0.076786024,0.000241271,0.003229319,0.001490931,0.011,31.68,0.473,56.63,80,6.19E-06,0.001453812,5.88E-05,0.001453812,0.001054787,0.00035572,0.00098055,0.000463983,5.57E-05,0.000117542,0.253335941,-0.201600543
Taplejung,0,0.077796346,0.127693961,0.071166867,0,0.000156911,0.001357278,0.000125529,0.621327308,0.078769192,0,0.015918595,0,0.004244436,0.001443579,0.017,34.28,0.385,53.82,90,0.000329513,0.005531104,8.63E-05,0.005531104,0.000557033,0.00029813,0.000227521,4.71E-05,1.57E-05,7.85E-06,0.419950335,0.076989995
Terhathum,0,0.133219134,0.206572354,0.092944269,0.000354411,0,0.001073078,0.000226429,0.463018203,0.0698288,0.000305187,0.028923871,0,0.0025301,0.001004164,0.007,30.64,0.634,58.13,87,3.94E-05,0.005690265,3.94E-05,0.005690265,0.000137826,0.000216584,0.000216584,4.92E-05,3.94E-05,0,0.289165451,0.069232869
Udayapur,0,0.059902624,0.228153383,0.106584533,0.001209327,0.013315193,0.020473527,0.000784173,0.328370054,0.11873449,0.006824509,0.034443773,0.000462945,0.002012396,0.078729073,0.019,39.3,0.3,25.7,89,0,0.000302332,0,0.000302332,0.000377915,0.000144867,0.00062041,0.000113374,5.67E-05,3.78E-05,0.19696134,0.069560808